Date,Start (ET),Visitor/Neutral,Home/Neutral
Wed Oct 26 2022,8:00p,San Antonio Spurs,Minnesota Timberwolves
Wed Oct 26 2022,7:30p,Philadelphia 76ers,Toronto Raptors
Wed Oct 26 2022,7:00p,Orlando Magic,Cleveland Cavaliers
Wed Oct 26 2022,10:00p,Miami Heat,Portland Trail Blazers
Wed Oct 26 2022,10:00p,Los Angeles Lakers,Denver Nuggets
Wed Oct 26 2022,8:00p,Indiana Pacers,Chicago Bulls
Wed Oct 26 2022,9:00p,Houston Rockets,Utah Jazz
Wed Oct 26 2022,7:30p,Charlotte Hornets,New York Knicks
Wed Oct 26 2022,7:30p,Brooklyn Nets,Milwaukee Bucks
Wed Oct 26 2022,7:00p,Atlanta Hawks,Detroit Pistons
Wed Oct 19 2022,7:00p,Washington Wizards,Indiana Pacers
Wed Oct 19 2022,10:00p,Portland Trail Blazers,Sacramento Kings
Wed Oct 19 2022,7:00p,Orlando Magic,Detroit Pistons
Wed Oct 19 2022,8:00p,Oklahoma City Thunder,Minnesota Timberwolves
Wed Oct 19 2022,7:30p,New York Knicks,Memphis Grizzlies
Wed Oct 19 2022,7:30p,New Orleans Pelicans,Brooklyn Nets
Wed Oct 19 2022,7:30p,Houston Rockets,Atlanta Hawks
Wed Oct 19 2022,9:00p,Denver Nuggets,Utah Jazz
Wed Oct 19 2022,10:00p,Dallas Mavericks,Phoenix Suns
Wed Oct 19 2022,7:30p,Cleveland Cavaliers,Toronto Raptors
Wed Oct 19 2022,7:30p,Chicago Bulls,Miami Heat
Wed Oct 19 2022,8:00p,Charlotte Hornets,San Antonio Spurs
Wed Nov 9 2022,7:30p,Utah Jazz,Atlanta Hawks
Wed Nov 9 2022,7:00p,Portland Trail Blazers,Charlotte Hornets
Wed Nov 9 2022,8:00p,Phoenix Suns,Minnesota Timberwolves
Wed Nov 9 2022,7:30p,New York Knicks,Brooklyn Nets
Wed Nov 9 2022,8:00p,New Orleans Pelicans,Chicago Bulls
Wed Nov 9 2022,8:00p,Milwaukee Bucks,Oklahoma City Thunder
Wed Nov 9 2022,8:00p,Memphis Grizzlies,San Antonio Spurs
Wed Nov 9 2022,10:00p,Los Angeles Lakers,Los Angeles Clippers
Wed Nov 9 2022,7:30p,Houston Rockets,Toronto Raptors
Wed Nov 9 2022,7:30p,Detroit Pistons,Boston Celtics
Wed Nov 9 2022,7:00p,Denver Nuggets,Indiana Pacers
Wed Nov 9 2022,7:00p,Dallas Mavericks,Orlando Magic
Wed Nov 9 2022,10:00p,Cleveland Cavaliers,Sacramento Kings
Wed Nov 30 2022,7:30p,Washington Wizards,Brooklyn Nets
Wed Nov 30 2022,8:00p,Toronto Raptors,New Orleans Pelicans
Wed Nov 30 2022,8:00p,San Antonio Spurs,Oklahoma City Thunder
Wed Nov 30 2022,10:30p,Portland Trail Blazers,Los Angeles Lakers
Wed Nov 30 2022,7:00p,Philadelphia 76ers,Cleveland Cavaliers
Wed Nov 30 2022,7:30p,Milwaukee Bucks,New York Knicks
Wed Nov 30 2022,7:30p,Miami Heat,Boston Celtics
Wed Nov 30 2022,8:00p,Memphis Grizzlies,Minnesota Timberwolves
Wed Nov 30 2022,9:00p,Los Angeles Clippers,Utah Jazz
Wed Nov 30 2022,10:00p,Indiana Pacers,Sacramento Kings
Wed Nov 30 2022,9:00p,Houston Rockets,Denver Nuggets
Wed Nov 30 2022,9:00p,Chicago Bulls,Phoenix Suns
Wed Nov 30 2022,7:00p,Atlanta Hawks,Orlando Magic
Wed Nov 23 2022,7:30p,Washington Wizards,Miami Heat
Wed Nov 23 2022,7:30p,Sacramento Kings,Atlanta Hawks
Wed Nov 23 2022,7:00p,Portland Trail Blazers,Cleveland Cavaliers
Wed Nov 23 2022,7:00p,Philadelphia 76ers,Charlotte Hornets
Wed Nov 23 2022,8:00p,New Orleans Pelicans,San Antonio Spurs
Wed Nov 23 2022,7:00p,Minnesota Timberwolves,Indiana Pacers
Wed Nov 23 2022,10:00p,Los Angeles Clippers,Golden State Warriors
Wed Nov 23 2022,9:00p,Detroit Pistons,Utah Jazz
Wed Nov 23 2022,8:00p,Denver Nuggets,Oklahoma City Thunder
Wed Nov 23 2022,7:30p,Dallas Mavericks,Boston Celtics
Wed Nov 23 2022,8:00p,Chicago Bulls,Milwaukee Bucks
Wed Nov 23 2022,7:30p,Brooklyn Nets,Toronto Raptors
Wed Nov 2 2022,7:00p,Washington Wizards,Philadelphia 76ers
Wed Nov 2 2022,8:30p,Utah Jazz,Dallas Mavericks
Wed Nov 2 2022,8:00p,Toronto Raptors,San Antonio Spurs
Wed Nov 2 2022,7:30p,Sacramento Kings,Miami Heat
Wed Nov 2 2022,10:30p,New Orleans Pelicans,Los Angeles Lakers
Wed Nov 2 2022,10:00p,Memphis Grizzlies,Portland Trail Blazers
