,user_name,user_location,user_description,user_verified,date,text,hashtags,source
0,FirstSportz,New Delhi,FirstSportz is the First Stop for all sports fanatics like you and us | Get all the latest updates here,False,2022-10-11 13:55:10+00:00,“Giannis Antetokounmpo is the immigrant uncle USA needs” Hasan Minhaj reveals how his kids adore the Greek Freak https://t.co/zPgsZJp9ka #MilwaukeeBucks #NBA,,dlvr.it
1,Love NBA,,NAB Fanbase,False,2022-10-11 05:19:02+00:00,"The BIGGEST Milwaukee #Bucks ...
 
https://t.co/J66s20kRIw
 
#Antetokounmpo #BucksGrizzlies #BucksHawks #BucksPodcast #BucksPreseason #CentralDivision #EasternConference #FearTheDeer #Giannis #GSPN #JevonCarter #JordanNwora #JrueHoliday #MarJonBeauchamp #MilwaukeeBucks https://t.co/zCentnYwQV","['Bucks', 'Antetokounmpo', 'BucksGrizzlies', 'BucksHawks']",love.nba
2,TalkBasket,Basketball World,"EuroLeague and FIBA media partner, all latest news from the NBA and the world of basketball. Get in touch at info@talkbasket.net",False,2022-10-11 04:25:29+00:00,Suns looking to acquire rotational pieces for Jae Crowder instead of future assets – report #AtlantaHawks #ClevelandCavaliers #JaeCrowder #MiamiHeat #MilwaukeeBucks https://t.co/JbBhG8VHhY,['AtlantaHawks'],TalkBasket
3,Love NBA,,NAB Fanbase,False,2022-10-11 02:38:03+00:00,"Trae Young Was on Fire Vs. Milwaukee Bucks #shorts
 
https://t.co/MNucYbqlDE
 
#CentralDivision #EasternConference #MilwaukeeBucks https://t.co/Xn5xnnqo7P","['shorts', 'CentralDivision', 'EasternConference']",love.nba
4,Love NBA,,NAB Fanbase,False,2022-10-11 02:36:02+00:00,"Breaking down Trae Young&amp;#39;s 31-PT ...
 
https://t.co/U2g0NNB2kt
 
#AbuDhabiNba #AtlantaHawks #BucksHawks #BucksHawksNba #EasternConference #ESPN #ESPNNBA #ESPNNBAToday #HawksBasketball #HawksBucks #HawksBucksHighlights #MalikaAndrews #MilwaukeeBucks #Nba2022 #NbaAbuDhabi https://t.co/6JdoDMIDS7","['AbuDhabiNba', 'AtlantaHawks', 'BucksHawks']",love.nba
5,Sarah Bartholomew,"Highland, UT","Sarah Bartholomew
Lone Peak HS, 2024 / 6A State Champs / #22 Nat'l Ranked
Utah Premier Nike National U17
6’3” Height 6’5” Wingspan
Long | Fast | Smart",False,2022-10-11 00:46:28+00:00,"So excited! @Giannis_An34 I know you're busy, but I really hope I get to see you play at @FiservForum in two days! I've been waiting 876 days for this! I'll be there on Wed vs the @BrooklynNets behind the @Bucks bench. #LikeGiannis #GiannisAntetokounmpo #Giannis34 #MilwaukeeBucks https://t.co/fv0oyOlpT3",,Twitter Web App
6,Timothy Shaw MD,,A Just Democracy - not just a democracy / Racial Equality / Medicare 4 ALL / Save Planet Earth / End Nuclear Weapons / Univ. Wis. Med School 1976 / Army 38 yrs,False,2022-10-10 21:40:10+00:00,@SenRonJohnson approves of this message I presume. #AARP #NRA #Wisconsin #Badgers #GreenBayPackers #MilwaukeeBucks #Brewers https://t.co/kNB8EgW3hc,"['AARP', 'NRA', 'Wisconsin', 'Badgers', 'GreenBayPackers', 'MilwaukeeBucks']",Twitter for iPhone
7,ChiTownSportsCards,,In this for the sport of collecting.,False,2022-10-10 19:46:07+00:00,Absolutely beautiful! #giannis #milwaukeebucks #fearthedear https://t.co/8GbhhBiSly,"['giannis', 'milwaukeebucks', 'fearthedear']",Twitter for iPhone
8,Phoenix East,"Daytona Beach, Florida","Phoenix East Aviation Founded in 1972, 141 Accredited Flight School and Aviation Training",False,2022-10-10 13:12:12+00:00,"The NBA Abu Dhabi Series prompts a rare visit by an Etihad Boeing 777 to Milwaukee 😀🏆🏀🌎✈️

https://t.co/dImcqMYdCY

#NBATwitter #Aviation #AVGeek #Bucksin6 #MilwaukeeBucks #Boeing777 #Aircraft",,Twitter Web App
9,Raw Chili,,,False,2022-10-10 12:34:04+00:00,"Made a logo mashup wallpaper - figured I’d share it here in case anyone else wants to use  ... 
 
https://t.co/f6C40qVTXq
 
#Basketball #Bucks #Milwaukee #MilwaukeeBucks #NationalBasketballAssociation #NBA #NBAEasternConference #NBAEasternConferenceCentralDivision #Wisconsin https://t.co/GswD6lmmUB",,raw-chili
10,Unplugged TV India,India,Cut through the noise and get all the news in one place. We bring you the happenings that matters most.,False,2022-10-10 11:49:01+00:00,"with 34%, while the Philadelphia 76ers' Joel Embiid received 14%.

Read More: https://t.co/MbCNcwNtum

#NBA #milwaukee #MilwaukeeBucks #MilwaukeeBuck",['NBA'],Twitter Web App
11,Love NBA,,NAB Fanbase,False,2022-10-10 07:28:02+00:00,"Made a logo mashup wallpaper - figured I’d share it here in case anyone else wants to use it! bucksinsix
 
https://t.co/P05gV6JgGp
 
#CentralDivision #EasternConference #MilwaukeeBucks https://t.co/pApeNamGCN",,love.nba
