,user_name,user_location,user_description,user_verified,date,text,hashtags,source
0,Kevin Sousa,Toronto,"Father of 2, husband to one! Teacher and sports photographer. @kevinsousaphoto instagram",False,2022-10-11 15:28:44+00:00,Pre-Season @NBA 📸 @usatodaysports @Raptors vs @chicagobulls #nba #torontoraptors #ChicagoBulls https://t.co/W41B1WfLFj,"['nba', 'torontoraptors', 'ChicagoBulls']",Twitter for iPhone
1,Mis Zapas,Spain,Basketball sneakers and more. Zapas de baloncesto y más.,False,2022-10-11 14:54:50+00:00,"Only 2 copies left!

Order Michael Jordan's sneaker history book.

Check it here: https://t.co/Cbi3X5NiRJ

#michaeljordan #airjordanvi #airjordan6 #bulls #1991 #90sbasketball #nba90s #miszapas #chicagobulls #90sbasketball #jumpman",,Twitter Web App
2,SAINT-PATRICE-SELKE SZN🐻🏆,Michigan’s Better Half ,"Married: Pet Dad: #NHLBruins #LGRW #DaBears #GoBlue〽️ #FlyTheW🐻 UFC Fan👊🏻 DeathCore💀Gamer🎮 Outdoorsman🐟🦆🦌🐺🦃🐇Yooper〽️Ally to 🏳️‍🌈,POC & Animals:",False,2022-10-11 14:49:55+00:00,Do your thing #twitter #Bulls #ChicagoBulls https://t.co/xenAvMEy1e,"['twitter', 'Bulls', 'ChicagoBulls']",Twitter for iPhone
3,Doty Arts and Stuff ➡️ MFF,Right Here,He/Him/They/Them / 24 / Bi / Comic Pages Every Other Sunday / All Other Arts Stuff @ Random Times / Commissions Open,False,2022-10-11 12:43:51+00:00,"Inktober 2022 Day 6 (Trip)
Character: Benny the Bull (Chicago Bulls)

#digitalart #digitalartist
#art #artist #digitalartwork
#artwork #challenge #artchallenge #drawingchallenge #inktober #inktober2022 #bennythebull #chicago #chicagobulls #mascot #basketball #sports #bull #fanart https://t.co/6D47adl91R","['digitalart', 'digitalartist', 'art', 'artist']",Twitter Web App
4,AMB,"München, Germany","Tweets about football, basketball and other fun",False,2022-10-11 12:43:38+00:00,"chicagobulls: One more before they all count.

📺: @NBCSChicago
📻: @670TheScore https://t.co/XKUOsBIHz5 #chicagobulls",['chicagobulls'],IFTTT
5,Love NBA,,NAB Fanbase,False,2022-10-11 10:09:03+00:00,"DeMar DeRozan said this about Chicago
 
https://t.co/0q84HTRoJr
 
#Basketball #CentralDivision #ChicagoBulls #DemarDeRozan #DraymondGreen #EasternConference #MICHAELJORDAN #NBA #Podcast https://t.co/OpO1eUL72g","['Basketball', 'CentralDivision', 'ChicagoBulls']",love.nba
6,The GoodNews World Official,United Kingdom,"Spirit Embassy, The GoodNews Church Worldwide founded by @UebertAngel and @BeverlyUAngel (Prophet Uebert and BeBe Angel)",False,2022-10-11 09:53:44+00:00,"INTERNATIONAL PROPHECY FULFILLED 

The Chicago Bulls beats the Toronto Raptors, notice how Prophet Angel accurately prophesied the winner of the game and that the score will be over 102.

#uebertangel #nba #chicagobulls #bulls #raptors #torontoraptors #basketball #usa https://t.co/h2nY7SAszQ",,Twitter for iPhone
7,Uebert Angel,"London, England",DIPLOMAT | Year2022 WONDERS WITHOUT NUMBER | GODFATHER OF THE PROPHETIC MOVEMENT | PRESIDENT OF THE GOODNEWSWORLD | Wife: BeBe Angel |GLOBALCITIZEN,True,2022-10-11 09:52:48+00:00,"INTERNATIONAL PROPHECY FULFILLED 

The Chicago Bulls beats the Toronto Raptors, notice how Prophet Angel accurately prophesied the winner of the game and that the score will be over 102.

#uebertangel #nba #chicagobulls #bulls #raptors #torontoraptors #basketball #usa https://t.co/D5WaquHvnV",,Twitter for iPhone
8,Tawanda,"Sydney, New South Wales",Worshiper of the Most High God,False,2022-10-11 09:45:55+00:00,God is still saying something #chicago #usa #nba #raptors #major #chicagobulls #torontoraptors #USA https://t.co/ap6ADBN0eb,"['chicago', 'usa', 'nba', 'raptors', 'major', 'chicagobulls', 'torontoraptors', 'USA']",Twitter for iPhone
9,TalkBasket,Basketball World,"EuroLeague and FIBA media partner, all latest news from the NBA and the world of basketball. Get in touch at info@talkbasket.net",False,2022-10-11 09:16:46+00:00,Andre Drummond looking to be a three-point threat for Bulls after surprise shooting stroke vs Raps: ‘It’s something that I’ve worked on’ #AndreDrummond #ChicagoBulls https://t.co/dQSI1XqoHb,,TalkBasket
10,sev.,England,dont worry about me pal,False,2022-10-11 07:36:48+00:00,Selling a few things have a gander! @depop #argentina #chicagobulls #adidas #adidasoriginals https://t.co/BUcB0YTV0y https://t.co/AjXcOpnHVw,"['argentina', 'chicagobulls', 'adidas', 'adidasoriginals']",Twitter for iPhone
11,Love NBA,,NAB Fanbase,False,2022-10-11 07:31:02+00:00,"Chicago Bulls vs Toronto Raptors Full Highlights 4th QTR | NBA Season 2022-23 Preseason Week 2
 
https://t.co/yLOBUFY9Ft
 
#CentralDivision #ChicagoBulls #EasternConference https://t.co/H2scZtMrRK",,love.nba
12,Its Wikipedia,,Wikipedia and Biography One Click Away,False,2022-10-11 06:11:16+00:00,"Ben Gordon is a former Chicago Bulls star Ben Gordon has been #arrested at #LaGuardia airport after hitting his 10-year-old son so hard the child required hospitalization.

#BenGordon
#ChicagoBulls

https://t.co/Rq1CblrY1B","['arrested', 'LaGuardia']",Twitter Web App
13,Bulls Podcast,Bulls Nation,Chicago Bulls Podcast hosted by @marcuscouch and @Radical_Creator  #bullsnation #chicagobulls #bulls,False,2022-10-11 05:00:06+00:00,"9 Days til Opening Day! Do you think the Bulls should definitely keep Vooch beyond this season?

#chicagobulls #bullsnation #nbapreseason #nba #bullspodcast #podcast #bulls https://t.co/UENqXXxsqB",['chicagobulls'],PostingPlatform
14,Leaving For LA,Montreal,"Graphic Designer. Sports fanatic. Visit my shop: Posters, Prints, Frames, Phone cases, Puzzles, Pillows, Towels and more!",False,2022-10-10 21:35:00+00:00,"Shop #AirJordan  Puzzles, Prints, Phones Cases, Towels and more @ &gt;&gt; https://t.co/LHMEE1JbQg &lt;&lt; #MJMondays #MichaelJordan #Jordan #Bulls #ChicagoBulls #BullsNation","['AirJordan', 'MJMondays']",Twitter Web App
15,Official Lee Corwin,"Detroit, MI","🇵🇭Bulls,Cubs,AEW, Hogwarts,Office,Parks & Rec,WMU,NBA cards https://t.co/0I5lMt1YIM father to Elsie Lucille, 313 livin but Chi=home,IG/tictok: officialleejcorwin",False,2022-10-10 21:29:42+00:00,"#bulls #chicagobulls #seered @chicagobulls Ayo, Woo and Coby +/- was my takeaway from yesterdays game... esp Coby!!! https://t.co/rOdMm9ZGvR","['bulls', 'chicagobulls', 'seered']",Twitter for iPhone
16,Artist AJ Moore,"San Antonio, TX","Gud Fit is an entertainment company centered around the Arts, creating new ideas and stories for all ages to enjoy.

Fitted Creations Made To Enjoy!",False,2022-10-10 21:12:54+00:00,"Michael Jordan- Time-Lapse video 

#ArtistAJMoore #nba #michaeljordan #jordan #chicagobulls #nbalegend #basketball #copicmarkers  #ArtistAJMooreSports https://t.co/Hm3HrXXYBo","['ArtistAJMoore', 'nba', 'michaeljordan', 'jordan', 'chicagobulls', 'nbalegend', 'basketball']",Twitter for Android
17,TheMightyCapeech (His Worship),,Writer/Rapper/Emcee/Contact: skavinyl@gmail.com/ instagram/ https://t.co/dpBpXiJ7UU…,False,2022-10-10 21:05:21+00:00,Watching Michael Jordan’s “Last Dance” again &amp; the #chicagobulls are the only team in professional sports to say they don’t want to win anymore. The MJ Bulls never lost an NBA finals. They could have won 8 ships 🤔 https://t.co/G6H2QBVwVr,['chicagobulls'],Twitter for iPhone
18,Gimme The Hot Sauce Podcast,"Chicago, IL","Stacey King, Mark Schanowski & Friends entertain with thoughts and opinions on sports and current events. New episode every Thursday🔥🔥🔥",False,2022-10-10 20:02:47+00:00,Antoine Carr gives the real sauce on trickery during the Jordan era. @AntoineCarr55 #gths #BullsNation #chicagobulls #bulls #SeeRed #NBA #podcast #nbapodcast https://t.co/K32Lg0sESM,"['gths', 'BullsNation']",Twitter for iPhone
19,Love NBA,,NAB Fanbase,False,2022-10-10 19:57:02+00:00,"Chicago Bulls vs Toronto Raptors Full Highlights 1st QTR | NBA Season 2022-23 Preseason Week 2
 
https://t.co/Bg4M5WryeE
 
#CentralDivision #ChicagoBulls #EasternConference https://t.co/6gbzKEMEno",,love.nba
20,Love NBA,,NAB Fanbase,False,2022-10-10 18:12:02+00:00,"Toronto Raptors Vs Chicago Bulls Full ...
 
https://t.co/sn53kchf8a
 
#AnthonyDavis #BenSimmons #CarmeloAnthony #CentralDivision #ChicagoBulls #ChrisPaul #DamianLillard #DevinBooker #EasternConference #Giannis #JimmyButler #JoelEmbiid #KAWHILEONARD #KevinDurant #KlayThompson https://t.co/IXghYoz2LY","['AnthonyDavis', 'BenSimmons', 'CarmeloAnthony']",love.nba
21,Love NBA,,NAB Fanbase,False,2022-10-10 17:17:02+00:00,"‘Andres Nocioni throws down the monster jam!’
 
https://t.co/TEEo2KMZB4
 
#CentralDivision #ChicagoBulls #EasternConference https://t.co/jMMJZglE1Q","['CentralDivision', 'ChicagoBulls']",love.nba
22,Bulls Podcast,Bulls Nation,Chicago Bulls Podcast hosted by @marcuscouch and @Radical_Creator  #bullsnation #chicagobulls #bulls,False,2022-10-10 17:00:05+00:00,"9 Days til Opening Day! Do you think the Bulls should definitely keep Vooch beyond this season?

#chicagobulls #bullsnation #nbapreseason #nba #bullspodcast #podcast #bulls https://t.co/b6E0o6uExH",['chicagobulls'],PostingPlatform
23,MyNextSeat,"Florida, USA",MyNextSeat is part of the WebPass Social Network a social media marketing agency,False,2022-10-10 16:28:19+00:00,#NBA #ChicagoBulls #AndreDrummond Bulls' Andre Drummond goes perfect from downtown in win over Raptors https://t.co/tR8M2BqjFj,"['NBA', 'ChicagoBulls', 'AndreDrummond']",dlvr.it
24,Love NBA,,NAB Fanbase,False,2022-10-10 16:25:02+00:00,"Chicago Bulls vs Toronto Raptors Full Game Highlights | NBA Season 2022-23 Preseason Week 2
 
https://t.co/nkdpkb3xvr
 
#CentralDivision #ChicagoBulls #EasternConference https://t.co/k2jRutmXqT",,love.nba
25,Hat Crawler,,Crawling 300+ sites for new hat drops so you don’t have to. Links ⬇,False,2022-10-10 16:08:06+00:00,"CHICAGO BULLS RED/BLACK TWO TONED 59FIFTY now available from CLARKSTREETSPORTS

#newdrop #clarkstreetsports #chicago #nba #chicagobulls #bulls #bullsnation #illinois #redblack #two #toned #59fifty #hatcrawler #fitted

https://t.co/taZjRFAU2V","['newdrop', 'clarkstreetsports']",HatCrawler
26,CSG - Certified Sports Guaranty,,"#TheHobby #SportsCards
CSG was established to provide expert, impartial and efficient certification services for sports cards",False,2022-10-10 15:51:07+00:00,"Out of this 🌎! #MetalMonday
 
#CSG #CSGcards #TeamCSG #TheHobby #basketballcards #skybox #michaeljordan #chicagobulls #bulls #bullsnation #bullsbasketball #nba https://t.co/md6BPymdRz","['MetalMonday', 'CSG', 'CSGcards', 'TeamCSG', 'TheHobby', 'basketballcards', 'skybox', 'michaeljordan']",Sprout Social
27,Leaving For LA,Montreal,"Graphic Designer. Sports fanatic. Visit my shop: Posters, Prints, Frames, Phone cases, Puzzles, Pillows, Towels and more!",False,2022-10-10 15:30:00+00:00,"Shop #AirJordan  Puzzles, Prints, Phones Cases, Towels and more @ &gt;&gt; https://t.co/ELuMw8RDVa &lt;&lt; #MJMondays #MichaelJordan #Jordan #Bulls #ChicagoBulls #BullsNation","['AirJordan', 'MJMondays']",Twitter Web App
28,Love NBA,,NAB Fanbase,False,2022-10-10 14:35:03+00:00,"Toronto Raptors Vs Chicago Bulls Full ...
 
https://t.co/w3X6zx9GsX
 
#AnthonyDavis #BenSimmons #CarmeloAnthony #CentralDivision #ChicagoBulls #ChrisPaul #DamianLillard #DevinBooker #EasternConference #Giannis #JimmyButler #JoelEmbiid #KAWHILEONARD #KevinDurant #KlayThompson https://t.co/LHjQDIsQYg","['AnthonyDavis', 'BenSimmons', 'CarmeloAnthony']",love.nba
29,Mis Zapas,Spain,Basketball sneakers and more. Zapas de baloncesto y más.,False,2022-10-10 14:23:08+00:00,"Only 2 copies left!

Order Michael Jordan's sneaker history book.

Check it here: https://t.co/Cbi3X5NiRJ

#michaeljordan #airjordaniii #airjordan3 #bulls #1988 #90sbasketball #nba90s #miszapas #chicagobulls #90sbasketball #jumpman https://t.co/108VUCCDPN",,Twitter Web App
30,HabsHYPE,"Montreal, Qc","Artist @ fine Art America. Frames, Prints,📲Cases, Puzzles, Towels, Pillows and more!",False,2022-10-10 14:00:01+00:00,"Shop #AirJordan  Puzzles, Prints, Phones Cases, Towels and more @ &gt;&gt; https://t.co/hBIy79qTmS &lt;&lt; #MJMondays #MichaelJordan #Jordan #Bulls #ChicagoBulls #BullsNation","['AirJordan', 'MJMondays']",Twitter Web App
31,AMB,"München, Germany","Tweets about football, basketball and other fun",False,2022-10-10 13:43:22+00:00,"chicagobulls: Javonte Green through three preseason games:

16.7 points
77% FG
75% from three

📰: @SamSmithHoops game recap: #chicagobulls",['chicagobulls'],IFTTT
32,Love NBA,,NAB Fanbase,False,2022-10-10 12:48:02+00:00,"Chicago Bulls vs Toronto ...
 
https://t.co/kkzEqxkC6s
 
#20222023NBASeason #BullsVsRaptors #BullsVsRaptors2022 #BullsVsRaptorsHighlights #Ccbn #CentralDivision #ChicagoBulls #EasternConference #ExtendedHighlights #ExtendedNba #ExtendedNbaHighlights #FullGameHighlights https://t.co/whOqtJAOnE","['20222023NBASeason', 'BullsVsRaptors', 'BullsVsRaptors2022']",love.nba
33,Kognacboyz,,https://t.co/0DXCkg1C6p Chi-Bulls Podcast & Chicago Bears Central https://t.co/vdfPjemPl2,False,2022-10-10 11:43:15+00:00,Chi Town Panel Chicago Bulls Ceiling🤔 #BullsNation #chicagobulls #SeeRed @KognacBoyz @OTGChiSports @BullsNStation @BullsCentralPod Subscribe to our page on YouTube https://t.co/yPrPw7cNMd https://t.co/boy6VASq6q,"['BullsNation', 'chicagobulls', 'SeeRed']",Twitter for iPhone
34,Love NBA,,NAB Fanbase,False,2022-10-10 10:47:02+00:00,"Another Strong Finish For the Bulls to ...
 
https://t.co/wAwtkjQfou
 
#AlexCaruso #AyoDosunmu #BullsCentral #BullsFreeAgency #BullsNation #BullsNews #BullsRumors #BullsUpdate #BullsVsNuggets #BullsVsNuggetsHighlights #BullsVsNuggetsPreseason #CentralDivision #ChicagoBulls https://t.co/l0hjxYg416","['AlexCaruso', 'AyoDosunmu', 'BullsCentral']",love.nba
35,Matthias Wilke /Rangerbure,Berlin,ruhiger Typ ... keine Ahnung was ich manchmal Schreibe ...Sportergebnisse(Mitteilung)...(SerienFan),False,2022-10-10 10:21:07+00:00,"Ende #Basketball Herren #NBASaisonvorbereitung 
115:98 #ChicagoBulls vs TorontoRaptors 
111:97 #NewOrleansPelicans vs SanAntonioSpurs 
124:121 #LosAngelesLakersvs GoldenStateWarriors 
94:126 PortlandTrailBlazers vs #SacramentoKings","['Basketball', 'NBASaisonvorbereitung', 'ChicagoBulls', 'NewOrleansPelicans']",Twitter Web App
36,Love NBA,,NAB Fanbase,False,2022-10-10 09:34:02+00:00,"Demar DeRozan FULL HIGHLIGHTS vs Toronto Raptors [10/9/22]
 
https://t.co/ONdN4D9PUJ
 
#CentralDivision #ChicagoBulls #EasternConference https://t.co/mTQjLPtMSd",['CentralDivision'],love.nba
37,Love NBA,,NAB Fanbase,False,2022-10-10 08:38:05+00:00,"HIGHLIGHTS: DeMar DeRozan leads Chicago Bulls on the road for preseason win in Toronto
 
https://t.co/c0iGZj1uTz
 
#CentralDivision #ChicagoBulls #EasternConference https://t.co/f4VCYKY7Xz",,love.nba
38,Love NBA,,NAB Fanbase,False,2022-10-10 07:32:02+00:00,"[Highlight] Javonte Green with the complete disregard for human life
 
https://t.co/pzGfPy3ckZ
 
#CentralDivision #ChicagoBulls #EasternConference https://t.co/rxfFKWijMO",['CentralDivision'],love.nba
39,Best App,"Los Angeles, CA","⬇️ Download the #Best #App : https://t.co/XqjGm5wAoM
❤️ What's #Best Today ? 
💲 Discover, Share & Win the Best !",False,2022-10-10 07:03:43+00:00,"Share the #Best #basket-ball content
Download the Best #app : https://t.co/29sgyGJ4uG
#basketball #bestbasketball #chicagobulls #chicago #bulls #work #road #limited #minutes #sports

https://t.co/oPtHEmqtq8 https://t.co/s7KREjPn0B","['Best', 'basket', 'app', 'basketball', 'bestbasketball']",THEDOTBEST
