,user_name,user_location,user_description,user_verified,date,text,hashtags,source
0,Factory of Sadness,"Cleveland, OH",Proud member of @fansided that covers Ohio State and Cleveland sports.,True,2022-10-11 15:30:00+00:00,"Jarrett Allen teasing Kevin Love is a sign the Cleveland Cavaliers chemistry is second to none
(by @ChadNerdCorp) 
#ClevelandCavaliers #KevinLove #JarrettAllen 
https://t.co/0DGVgVYiJQ",,TweetDeck
1,Love NBA,,NAB Fanbase,False,2022-10-11 14:55:02+00:00,"Philadelphia 76ers vs. ...
 
https://t.co/6uzAp4FfSX
 
#CentralDivision #ChrisBroussard #ClevelandCavaliers #EasternConference #FirstThingsFirst #FoxSports1 #Fs1 #NICKWRIGHT #Shannon #ShannonSharpe #Skip #SkipAndShannon #SkipAndShannonUndisputed #SkipBayless #UNDISPUTED https://t.co/qi0vEMDRwo","['CentralDivision', 'ChrisBroussard', 'ClevelandCavaliers']",love.nba
2,Love NBA,,NAB Fanbase,False,2022-10-11 14:02:02+00:00,"Philadelphia 76ers vs. ...
 
https://t.co/xQhYEKaNve
 
#CentralDivision #ChrisBroussard #ClevelandCavaliers #EasternConference #FirstThingsFirst #FoxSports1 #Fs1 #NICKWRIGHT #Shannon #ShannonSharpe #Skip #SkipAndShannon #SkipAndShannonUndisputed #SkipBayless #UNDISPUTED https://t.co/ljJcFcPmcK","['CentralDivision', 'ChrisBroussard', 'ClevelandCavaliers']",love.nba
3,Factory of Sadness,"Cleveland, OH",Proud member of @fansided that covers Ohio State and Cleveland sports.,True,2022-10-11 13:30:00+00:00,"What is Dean Wade’s ceiling for the Cleveland Cavaliers as a long-term player?
(by @ChadNerdCorp) 
#DeanWade #ClevelandCavaliers #Cavs 
https://t.co/76JNtvJh1m",['DeanWade'],TweetDeck
4,Love NBA,,NAB Fanbase,False,2022-10-11 12:55:03+00:00,"Philadelphia 76ers vs Cleveland Cavaliers ...
 
https://t.co/7ByZVQZlSX
 
#CentralDivision #ClevelandCavaliers #EasternConference #JonathanKuminga #KlayThompson #LebronJames #NbaGameToday #NbaHighlight #NbaHighlightGame #STEPHENCURRY #TopNba #Warriors #WarriorsGameHighlight https://t.co/kkR207ulNp","['CentralDivision', 'ClevelandCavaliers']",love.nba
5,Factory of Sadness,"Cleveland, OH",Proud member of @fansided that covers Ohio State and Cleveland sports.,True,2022-10-11 12:30:26+00:00,"Cavs fall against the Sixers anew, remain winless in the preseason
(by @JustinTBao) 
#ClevelandCavaliers #Cavs #76ers
https://t.co/ZHIu0RzzXI","['ClevelandCavaliers', 'Cavs']",TweetDeck
6,Love NBA,,NAB Fanbase,False,2022-10-11 11:40:03+00:00,"Philadelphia 76ers vs. Cleveland Cavaliers Full ...
 
https://t.co/NrQGBagraW
 
#AndrewWiggins #AnthonyDavis #BenSimmons #BrooklynNets #CarmeloAnthony #CentralDivision #ChrisPaul #ClevelandCavaliers #DamianLillard #DevinBooker #DraymondGreen #DwightHoward #EasternConference https://t.co/oYqRRkfHd2","['AndrewWiggins', 'AnthonyDavis']",love.nba
7,Raw Chili,,,False,2022-10-11 11:00:05+00:00,"A classic JB game tonight 
 
https://t.co/lG9A17xNy8
 
#Basketball #Cavaliers #Cleveland #ClevelandCavaliers #NationalBasketballAssociation #NBA #NBAEasternConference #NBAEasternConferenceCentralDivision #Ohio https://t.co/DJC5gVwzV7","['Basketball', 'Cavaliers', 'Cleveland', 'ClevelandCavaliers']",raw-chili
8,Love NBA,,NAB Fanbase,False,2022-10-11 10:07:03+00:00,"Philadelphia 76ers vs Cleveland Cavaliers ...
 
https://t.co/R5BdNNqg3c
 
#CentralDivision #ClevelandCavaliers #EasternConference #JonathanKuminga #KlayThompson #LebronJames #NbaGameToday #NbaHighlight #NbaHighlightGame #STEPHENCURRY #TopNba #Warriors #WarriorsGameHighlight https://t.co/QdvnUCuqJZ","['CentralDivision', 'ClevelandCavaliers']",love.nba
9,Love NBA,,NAB Fanbase,False,2022-10-11 08:48:02+00:00,"Philadelphia 76ers vs Cleveland Cavaliers Full Game Highlights | NBA season 2022-23 Preseason Week 3
 
https://t.co/jQj4gA4TWN
 
#CentralDivision #ClevelandCavaliers #EasternConference https://t.co/KwRx5lXD7s",,love.nba
10,Love NBA,,NAB Fanbase,False,2022-10-11 07:28:03+00:00,"76ERS at CAVALIERS | #NBA PRESEASON FULL GAME HIGHLIGHTS | October 10, 2022
 
https://t.co/gC2kFiDNjy
 
#Basketball #CentralDivision #ClevelandCavaliers #EasternConference #GLeague #Game0012200044 https://t.co/dDzhpWNlxk","['NBA', 'Basketball']",love.nba
11,Love NBA,,NAB Fanbase,False,2022-10-11 06:35:03+00:00,"Is it worth it ?
 
https://t.co/Kyo1WH5t2a
 
#CentralDivision #ClevelandCavaliers #EasternConference https://t.co/mWAkuFhKOy","['CentralDivision', 'ClevelandCavaliers', 'EasternConference']",love.nba
12,Love NBA,,NAB Fanbase,False,2022-10-11 05:32:02+00:00,"Philadelphia 76ers vs Cleveland ...
 
https://t.co/FSeibVtGnv
 
#2022NbaPreseason #202223NBASeason #76ersVsCavaliers #76ersVsCavaliers2022 #Basketball #CentralDivision #ClevelandCavaliers #EasternConference #LongFullGameHighlights #NbaFullGameHighlights #NbaHighlights https://t.co/a68PTW4YRB","['2022NbaPreseason', '202223NBASeason']",love.nba
13,TalkBasket,Basketball World,"EuroLeague and FIBA media partner, all latest news from the NBA and the world of basketball. Get in touch at info@talkbasket.net",False,2022-10-11 04:25:29+00:00,Suns looking to acquire rotational pieces for Jae Crowder instead of future assets – report #AtlantaHawks #ClevelandCavaliers #JaeCrowder #MiamiHeat #MilwaukeeBucks https://t.co/JbBhG8VHhY,['AtlantaHawks'],TalkBasket
14,Love NBA,,NAB Fanbase,False,2022-10-11 04:06:02+00:00,"A classic JB game tonight
 
https://t.co/j72GbmXTaC
 
#CentralDivision #ClevelandCavaliers #EasternConference https://t.co/qWVE5RDPQ5","['CentralDivision', 'ClevelandCavaliers', 'EasternConference']",love.nba
15,Love NBA,,NAB Fanbase,False,2022-10-11 02:54:02+00:00,"Philadelphia 76ers vs Cleveland Cavaliers Full Highlights 1st QTR | NBA season 2022-23 Preseason Wk3
 
https://t.co/QB0imr4EQp
 
#CentralDivision #ClevelandCavaliers #EasternConference https://t.co/6tRCeGmovU",,love.nba
16,Puerto Rican Spice,"Puerto Rico, USA","Alpha Prime - Business Mergers Expert. 2:51pm 2/28/2019. ❤ The Phillies, 🦅 and 76. Puerto Rocky 🇵🇷. Xbox player who was forced to play on PS5.",False,2022-10-10 23:36:23+00:00,seeing @SerenaWinters with the #ClevelandCavaliers is weird.  We miss her in Philly. 🙊,['ClevelandCavaliers'],Twitter for iPhone
17,Love NBA,,NAB Fanbase,False,2022-10-10 20:38:02+00:00,"Drop or cop ?
 
https://t.co/1bEK1Y8qTk
 
#CentralDivision #ClevelandCavaliers #EasternConference https://t.co/EuDAe54Osb","['CentralDivision', 'ClevelandCavaliers', 'EasternConference']",love.nba
18,Bedrock Cleveland,44113,Bedrock is a full-service commercial real estate company specializing in the strategic development of Midwestern urban cores.,False,2022-10-10 16:03:40+00:00,"The @cavs will host the Philadelphia 76ers tonight for the first home pre-season game 🏀 We're ready to see the Gateway tunnel into @RMFieldHouse full of the new 2022-2023 jerseys.

Photo Credit: https://t.co/JiAATYgjVq

#clevelandcavaliers #clevelandcavs https://t.co/dlafqiQwnU",,Hootsuite Inc.
19,Cunning Foxes Sports,Metaverse,"Brought to you by @cunningfoxes

We are the #TheFoxPack and we own #TheFoxBank

We bring you upto date on all things in the sport world!",False,2022-10-10 12:33:07+00:00,“You Gotta Live With Those..”: Michael Jordan Had a Crucial Lesson for LeBron James Long Before He Won His First NBA Ring https://t.co/pr1QhebYfG #Basketball #ClevelandCavaliers,,dlvr.it
20,Best App,"Los Angeles, CA","⬇️ Download the #Best #App : https://t.co/XqjGm5wAoM
❤️ What's #Best Today ? 
💲 Discover, Share & Win the Best !",False,2022-10-10 03:36:42+00:00,"Share the #Best #basket-ball content
Download the Best #app : https://t.co/29sgyGqVgy
#basketball #bestbasketball #clevelandcavaliers #cleveland #cavaliers #weeks #sports

https://t.co/NWquVikH58 https://t.co/jB2on2fE0x","['Best', 'basket', 'app', 'basketball', 'bestbasketball']",THEDOTBEST
21,.Best Top-Level Domain,,"🌐 Register your .Best #Domain → https://t.co/8O1iGgbMLH
❤️ Download the Best #App → https://t.co/1ON2gEL3Nv
🛡️ Protect your #Brand → https://t.co/hYeU8VMWmj
📰 Join the #Best #Revue → https://t.co/tKDez2061r",False,2022-10-10 03:36:36+00:00,"#Best of the day on https://t.co/MqmlMsmLkS
Cleveland Cavaliers - Two weeks to go 
https://t.co/DDVpq6tFOM
#basket-ball #basketball #bestbasketball #clevelandcavaliers #cleveland #cavaliers #weeks #sports","['Best', 'basket']",BestTLDApp
