,user_name,user_location,user_description,user_verified,date,text,hashtags,source
0,The Celtics Files,"Boston, MA",Opening the files on all things Celtics 🍀,False,2022-10-11 15:06:01+00:00,"Think of it like this. After the weekend, there is only 2 days until the #Celtics return regularly 🍀",['Celtics'],Twitter for iPhone
1,Maillot de Foot Pas Cher,COMMANDER➩,"Prix: 15€
✈📦 Expedition : Express 8/10 jours",False,2022-10-11 15:05:56+00:00,"⚽|Nouveau #Celtics Vert 2022 Jayson Tatum 0⃣
Au prix hallucinant de 2⃣1⃣€
🛒https://t.co/2Y8paK5oux

#playoffnba https://t.co/iNYp2AQ1yW","['Celtics', 'playoffnba']",TweetDeck
2,Boston Celtics Fans,,Boston Celtics Fan Page. NOT linked to Official Boston Celtics. #Boston #TeamCeltics #Celtics #CelticsTalk #CelticsNation #GreenRunsDeep #BostonCeltics,False,2022-10-11 14:55:04+00:00,Jayson Tatum surprises fans on stage at Jack Harlow concert in Boston #Boston #TeamCeltics #Celtics #CelticsTalk https://t.co/VOaHi1DCEc,"['Boston', 'TeamCeltics', 'Celtics', 'CelticsTalk']",SocialBee.io v2
3,The Celtics Files,"Boston, MA",Opening the files on all things Celtics 🍀,False,2022-10-11 14:54:43+00:00,Grant Williams took an enormous leap last year. But was it enough to earn an extension before the start of the season? We shall see 👀 #Celtics https://t.co/P3IBWALsyy,,Twitter for iPhone
4,Boston Celtics Fans,,Boston Celtics Fan Page. NOT linked to Official Boston Celtics. #Boston #TeamCeltics #Celtics #CelticsTalk #CelticsNation #GreenRunsDeep #BostonCeltics,False,2022-10-11 14:51:01+00:00,Celtics sign A.J. Reeves to Exhibit 10 contract #Boston #TeamCeltics #Celtics #CelticsTalk https://t.co/Xf325Npslt,"['Boston', 'TeamCeltics', 'Celtics', 'CelticsTalk']",SocialBee.io v2
5,Boston Celtics Fans,,Boston Celtics Fan Page. NOT linked to Official Boston Celtics. #Boston #TeamCeltics #Celtics #CelticsTalk #CelticsNation #GreenRunsDeep #BostonCeltics,False,2022-10-11 14:50:07+00:00,Jayson Tatum surprises fans on stage at Jack Harlow concert in Boston #Celtics #CelticsTalk #CelticsNation #BostonCeltics https://t.co/2b10CSQrPz,"['Celtics', 'CelticsTalk', 'CelticsNation']",SocialBee.io v2
6,Banner Banter Podcast,Section 315 Row 15,"A Boston Celtics Podcast by Timmy G, Season Ticket Holder for 15 years ... tweets are my own",False,2022-10-11 14:38:30+00:00,"Episode 188 is now available ... The good things from Brogdon, the same bad habits from Smart, DW9 getting more comfortable and much more

#Boston #BostonCeltics #Celtics #New #Podcast https://t.co/ZL1vnHfxWt",,Twitter for Android
7,Bobby Krivitsky,,@Celtics reporter | Host @SportsMapRadio | Sports Anchor/Reporter | Former NFL & NBA Columnist @BleacherReport | Syracuse Alum,False,2022-10-11 14:17:13+00:00,"ICYMI, examining whether the #Celtics should bring back old friend Jae Crowder. Everything from the stats to the financials, the fit, and ultimately, the verdict.
https://t.co/ol5nKn3FXA",['Celtics'],Twitter Web App
8,Maillot de foot à 15euro,Boutique →,"Livraison express Fedex 8/10jours
Top qualité",False,2022-10-11 14:15:59+00:00,"⚽|New #Celtics Vert 2⃣0⃣2⃣2⃣ Jayson Tatum #0
Au prix extraordinaire de 2⃣1⃣€
🛒https://t.co/34Ss5wdXYl https://t.co/EH00fa9ycV",['Celtics'],TweetDeck
9,Warren Shaw 🇯🇲,"Fort Lauderdale, FL","Co-Founder @19mgroup. Host of @NBAbaseline, @dope_interviews & Bleav In Celtics. Formerly @closeup360, @Dimeuproxx, Yahoo & Celtics Life 
For bookings DM",True,2022-10-11 14:12:00+00:00,"New Bleav In #Celtics with my guy @GwashburnGlobe we discuss the pre-season thus far but also get into Boston's interest in Jae Crowder and options to reunite him. Catch the full show. 

https://t.co/Gqw4M7ONNf

@BleavNetwork @BleavSports https://t.co/S1SbXgnilD",['Celtics'],TweetDeck
10,Celtics Social 🍀🏀,"Boston, MA",☘️New main account for #Celtics basketball fansite/apparel! Wear what the players wear! 🏀For those that truly #BleedGreen 👉Question? CelticsSocial@gmail.com,False,2022-10-11 14:10:45+00:00,Jack Harlow brings out the #Celtics. https://t.co/TSIAy4i3wy,['Celtics'],Twitter for iPhone
11,Boston Celtics Fans,,Boston Celtics Fan Page. NOT linked to Official Boston Celtics. #Boston #TeamCeltics #Celtics #CelticsTalk #CelticsNation #GreenRunsDeep #BostonCeltics,False,2022-10-11 14:10:09+00:00,Boston Celtics: 3 likely players to be cut after preseason #Celtics #CelticsTalk #GreenRunsDeep #BostonCeltics https://t.co/maNjj2WDCS,"['Celtics', 'CelticsTalk', 'GreenRunsDeep', 'BostonCeltics']",SocialBee.io v2
12,Boston Celtics Fans,,Boston Celtics Fan Page. NOT linked to Official Boston Celtics. #Boston #TeamCeltics #Celtics #CelticsTalk #CelticsNation #GreenRunsDeep #BostonCeltics,False,2022-10-11 14:07:03+00:00,Topic Tuesday: What should the Celtics Opening Night starting 5 be? #Boston #TeamCeltics #Celtics #CelticsTalk https://t.co/r3IJS9LHN3,"['Boston', 'TeamCeltics', 'Celtics', 'CelticsTalk']",SocialBee.io v2
13,Vegas-Odds.com,"Las Vegas, Nevada",Sports betting / Odds  / Sportsbooks / Sports-betting bonuses,False,2022-10-11 14:06:07+00:00,"The #Celtics and #Warriors are faves to pick up the NBA Championship trophy at @bovadaofficial 

https://t.co/8G99WUnM2Z https://t.co/Pb07LLKFdG","['Celtics', 'Warriors']",Twitter Web App
14,HoopsHabit,The Arena,Providing the best analysis and coverage of the NBA as part of the @FanSided network! Tweets by @DylanHCarter & @crdurrett,True,2022-10-11 14:00:02+00:00,"7 days until the start of the NBA season.

#Celtics #Bleedgreen https://t.co/DlOcZClBLB","['Celtics', 'Bleedgreen']",Twitter Web App
15,The Celtics Files,"Boston, MA",Opening the files on all things Celtics 🍀,False,2022-10-11 13:57:51+00:00,Joe Mazzulla setting the marks on the court for spacing and perhaps some catch-and-shoot situations #Celtics https://t.co/Xc7nDMVGE3,['Celtics'],Twitter for iPhone
16,Boston Celtics Fans,,Boston Celtics Fan Page. NOT linked to Official Boston Celtics. #Boston #TeamCeltics #Celtics #CelticsTalk #CelticsNation #GreenRunsDeep #BostonCeltics,False,2022-10-11 13:56:02+00:00,"2022 Atlantic Division Preview: Will the Celtics, 76ers, Nets or Raptors emerge as the best team? #Boston #TeamCeltics #Celtics #CelticsTalk https://t.co/6RP5jQ2nYL",['Boston'],SocialBee.io v2
17,Dan Winters,"Easton, MA",Sometimes it is better to learn from falling down than to have someone there to catch you everytime. Certified Financial Adviser and Elf Spotter.,False,2022-10-11 13:51:42+00:00,"@taylorcsnow @KenGriffeyRules @Toucherandrich in comparison to Simmons, Jason Tatum ice in veins… #Celtics",['Celtics'],Twitter for iPhone
18,Boston Celtics Fans,,Boston Celtics Fan Page. NOT linked to Official Boston Celtics. #Boston #TeamCeltics #Celtics #CelticsTalk #CelticsNation #GreenRunsDeep #BostonCeltics,False,2022-10-11 13:45:08+00:00,Topic Tuesday: What should the Celtics Opening Night starting 5 be? #Celtics #CelticsNation #GreenRunsDeep #BostonCeltics https://t.co/pou1RoqRFr,"['Celtics', 'CelticsNation', 'GreenRunsDeep']",SocialBee.io v2
19,The Hoop Troop,,The official Twitter account of The Hoop Troop Podcast | Two brothers and a cousin discussing all current NBA topics and events #NBATwitter,False,2022-10-11 13:18:30+00:00,"A Few More Links to The Hoop Troop Podcast

YouTube: https://t.co/zFPDR8tAXa

Spotify: https://t.co/NHVgabeAo1

#NBA #Basketball #Sports #Podcast #NBAPodcast #BasketballPodcast #Celtics #Warriors #ImeUdoka #DraymondGreen #JordanPoole #VictorWembanyama #NBADraftLottery #Tanking",,Twitter Web App
20,Boston Celtics Fans,,Boston Celtics Fan Page. NOT linked to Official Boston Celtics. #Boston #TeamCeltics #Celtics #CelticsTalk #CelticsNation #GreenRunsDeep #BostonCeltics,False,2022-10-11 12:58:02+00:00,Celtics sign Roxbury native A.J. Reeves to Exhibit 10 contract #Boston #TeamCeltics #Celtics #CelticsTalk https://t.co/SNOKf83JI0,"['Boston', 'TeamCeltics', 'Celtics', 'CelticsTalk']",SocialBee.io v2
21,Boston Celtics Fans,,Boston Celtics Fan Page. NOT linked to Official Boston Celtics. #Boston #TeamCeltics #Celtics #CelticsTalk #CelticsNation #GreenRunsDeep #BostonCeltics,False,2022-10-11 12:53:04+00:00,"Doc Rivers On The Biggest Mistake The Celtics Made After Winning The Title In 2008: ""After 2008, We Start Giving Pieces Away, Tony Allen, James Posey..."" #Celtics #CelticsTalk #CelticsNation #GreenRunsDeep https://t.co/EVun5FFPTp",,SocialBee.io v2
