,Unnamed: 0,user_name,user_location,user_description,user_verified,date,text,hashtags,source
0,0,Jeremy G Moniker,"Georgia, USA",Data Scientist/BI Architect/Neurodiverse/(INTP/Mixed✋/ ♈🌞🌙+Venus/Chaotic Good/ Tradvaxxer/CounterFascist/Fuck Duopoly/Minarchist/Hella Dark/Banned4Heterodoxy,False,2022-10-09 15:56:00+00:00,"@Liberty1Dude @DickesonKathy Surprised more #Cubs #Clippers and #Cleveland fans aren't Yellow/Black.

But what do I know about #Sportsball.","['Cubs', 'Clippers', 'Cleveland', 'Sportsball']",Twitter for Android
1,1,Love NBA,,NAB Fanbase,False,2022-10-09 15:47:02+00:00,"Are the #Clippers getting vintage John Wall? 🏀
 
https://t.co/aDk76Yrzss
 
#ESPN #JohnWall #LAClippers #LosAngelesClippers #NBA #NbaNews #Ohm #OhmYoungmisuk #PacificDivision #Sports #SportsNews #ThatsOd #Viral #WesternConference https://t.co/4BBrE4lIcs","['Clippers', 'ESPN', 'JohnWall', 'LAClippers']",love.nba
2,2,Spenser Freeman,,interviewer pour le Fernando Rock Show,False,2022-10-09 15:01:50+00:00,"Master of Classic Rock !
Robert Jon live in France (+weird itw)

https://t.co/e0GDykqbeF

#USA #Classicrock #Celtics #utahjazz  #warriorsnation #Heat #LakersNation #Clippers #OKC #Nuggets #Knicks #Nets #pistons #BullsNation #Sixers #Rams #Giants #Pacers #SpursFamily","['USA', 'Classicrock']",Twitter Web App
3,3,Love NBA,,NAB Fanbase,False,2022-10-09 13:47:02+00:00,"the #Clippers are the biggest threat to the west ...
 
https://t.co/pQVh4i91gV
 
#BigThreat #ClippersMediaDay2022 #ClippersOpenPractice #ClippersPreseason #ClippersPreseason2022 #KahwiLeaonard #KAWHILEONARD #KawhiLeonardDefense #KawhiLeonardHighlights #KawhiLeonardInterview https://t.co/TshA3ccwLV","['Clippers', 'BigThreat', 'ClippersMediaDay2022']",love.nba
4,4,HOOP,NYC,Official NBA Publication since 1973.,True,2022-10-09 12:04:36+00:00,"Trey day

#Clippers https://t.co/QAzCDp2uYe",['Clippers'],Twitter for Android
5,5,Raw Chili,,,False,2022-10-09 10:02:04+00:00,"#Clippers giving back to the community 
 
https://t.co/d7dzwoUMuc
 
#Basketball #California #LosAngeles #LosAngelesClippers #NationalBasketballAssociation #NBA #NBAWesternConference #NBAWesternConferencePacificDivision https://t.co/omd11gGGaF","['Clippers', 'Basketball', 'California', 'LosAngeles']",raw-chili
6,6,Dean De Jesus,Valenzuela,12up and Fan Sided Affiliate / Social Media Influencer / PG/SG / NBA 2K Gamer / Laker Fan since 2001,False,2022-10-09 07:08:04+00:00,"How Victor Wembanyama can give the Knicks a new star trade target

https://t.co/PSVmf1fWel

#nba #newyorkforever #knicks #newyork #clippernation #losangeles #clippers #gospursgo #spurs #dubnation #goldenstate #warriors #lakeshow #NBATwitter #NBAJapanGames #mffl #NBAinAbuDhabi","['nba', 'newyorkforever']",Twitter Web App
7,7,maybe: liv,disappear here ,"🪷 ان شاء الله 
#prettybaked #blacklivesmatter",False,2022-10-09 07:07:38+00:00,i have a lighter obsession specifically #clippers 😩 i have a big glass jar full of them on my coffee table,['clippers'],Twitter for iPhone
8,8,Dean De Jesus,Valenzuela,12up and Fan Sided Affiliate / Social Media Influencer / PG/SG / NBA 2K Gamer / Laker Fan since 2001,False,2022-10-09 07:06:39+00:00,"Is Kevin Huerter the right choice for starting shooting guard?

https://t.co/kOAHaomhwl

#nba #sacramentoproud #kings #clippernation #losangeles #clippers #gospursgo #sanantonio #spurs #dubnation #goldenstate #warriors #lakeshow #NBATwitter #NBAJapanGames #mffl #NBAinAbuDhabi","['nba', 'sacramentoproud']",Twitter Web App
9,9,Dean De Jesus,Valenzuela,12up and Fan Sided Affiliate / Social Media Influencer / PG/SG / NBA 2K Gamer / Laker Fan since 2001,False,2022-10-09 07:05:53+00:00,"Paul George is right about the Sacramento Kings emergence

https://t.co/LeL2RLcNTO

#nba #sacramentoproud #kings #clippernation #losangeles #clippers #gospursgo #sanantonio #spurs #dubnation #goldenstate #warriors #lakeshow #NBATwitter #NBAJapanGames #nba2k23myteam #NBAinAbuDhabi","['nba', 'sacramentoproud', 'kings']",Twitter Web App
10,10,Gregory Gordon,"Los Angeles, CA","Professional Actor cast as Thug1 thug2 and thug3
Agent: Making stars talent agency
Instagram:@Thereal_gregorygordon",False,2022-10-09 05:34:11+00:00,"This shot is inspired by the NBA playoffs as the Clippers, for the very first time,  #Basketball #Hooping #Baller #Nba #Clippers #Lakers #Rims #Dunks #Layups #Jumpshot #Nbafinals #Playoffs #Basketballcourt #Backboard #Net https://t.co/Fkru9cHECx","['Basketball', 'Hooping', 'Baller']",Clickasnap
11,11,blue,"brooklyn, ny",Everybody’s favorite deer in the headlights. Traditional artist and Twitch person. Laugh with or at me for one low price. /dəˈpreSH(ə)n/ anxiety adhd.,False,2022-10-09 05:27:24+00:00,"Vintage Los Angeles, California City Hall USA Art Deco Souvenir Travel Pennant https://t.co/3wimSVXqvy #Antique #Dodgers #GKG #USA #SiempreLA #UCLA #LosAngeles #GoHalos #Rams #RamsHouse #BoltUp  #Vintage #California #GoBruins #GoKingsGo  #ClipperNation #Clippers #LakeShow #Lakers",['Antique'],Twitter Web App
12,12,blue,"brooklyn, ny",Everybody’s favorite deer in the headlights. Traditional artist and Twitch person. Laugh with or at me for one low price. /dəˈpreSH(ə)n/ anxiety adhd.,False,2022-10-09 05:23:37+00:00,"Vintage Los Angeles, CA City Hall California Art Deco USA Souvenir Travel Pennant https://t.co/s2gM5pyBOx #Antique #Dodgers #SiempreLA #Angels #GoHalos #Rams #RamsHouse #Chargers #BoltUp #UCLA #GoBruins #ClipperNation #Clippers #GoKingsGo #LosAngelesRams #LakeShow #Lakers #GKG",['Antique'],Twitter Web App
13,13,LA Sports,Los Angeles,"Lakers, Clippers, Rams, Chargers, Angels, Dodgers, Kings, Ducks sports news and history",False,2022-10-09 04:50:04+00:00,13 Days Away Clipper Nation.| LA Clippers #LosAngeles #Clippers #NBA Video: https://t.co/iLVmWlR0T0,"['LosAngeles', 'Clippers', 'NBA']",RetroSeasons Los Angeles
14,14,LA Sports,Los Angeles,"Lakers, Clippers, Rams, Chargers, Angels, Dodgers, Kings, Ducks sports news and history",False,2022-10-09 04:10:02+00:00,Sources: Lakers' Pelinka gets extension thru '26 #LosAngeles #Clippers #NBA https://t.co/dLDlf7mSJW,"['LosAngeles', 'Clippers', 'NBA']",RetroSeasons Los Angeles
