,Unnamed: 0,user_name,user_location,user_description,user_verified,date,text,hashtags,source
0,0,Mr.Opoku,"London, England",Guaranteed growth 🇬🇭🇱🇺,False,2022-10-09 09:53:57+00:00,Imma say this right now so its established. JA MORANT MVP THIS SEASON.. everyone else shut up #memphis #JaMorant,"['memphis', 'JaMorant']",Twitter for iPhone
1,1,Sechi,,,False,2022-10-09 07:13:13+00:00,"The incredible athleticism of Rose, Ja, Wall and Westbrook I don’t think there’s a definitive most athletic as play styles change the usage of it and other factors can be included #DRose #JaMorant #JohnWall #Westbrook https://t.co/Xv7DAsehTX https://t.co/MTGtTbmFHF",,Twitter for iPhone
2,2,Dwayne 🧇,eNjeni,Law student 📚,False,2022-10-09 06:28:44+00:00,Ja Morant left his waitress $500 😂 ( via @shotbynie ) #jamorant #ja #nba https://t.co/P4gFa2m15t via @YouTube,"['jamorant', 'ja', 'nba']",Twitter for iPhone
3,3,RiskyTGW,,Dogz4Life/SINISTER Muzic #CaliTRAP #MurderVill Risky The Ghost Writer http://t.co/inrRoEliQ0 http://t.co/FFhk088cKB  RiskyTGW@Gmail http://t.co/wbET1ANQC4,False,2022-10-09 01:05:54+00:00,"Ja Morant BLUE CHIPS Rookie card. #sportscards #sportscardinvestor #JaMorant #JaMorant12 #Sports #memphisgrizzlies #memphis #basketball #basketballcards #nba #sportcardsinvesting @ Palmdale, California https://t.co/1KsNB3rk8K","['sportscards', 'sportscardinvestor', 'JaMorant', 'JaMorant12', 'Sports', 'memphisgrizzlies']",Instagram
4,4,NBA Players Highlights,,I gonna do NBA Players video highlights and upload on youtube and here,False,2022-10-09 00:22:16+00:00,"Ja Morant NBA highlights GRIZZLIES vs HEAT 07-10-2022 PRESEASON https://t.co/CcgTMLTDgg

Follow us for more  highlights!!

#JaMorant #Ja #Morant #nbaPRESEASON #nbahighlights #basketball #memphis #grizzlies #grizzlies https://t.co/pzkQOAbZeh",,Twitter Web App
5,5,Cysion the Slickest,Detroit - Chicago,Bless man creative extraordinaire. Boss at Creative DeCysions. Artist / Producer / Podcasts Creator,False,2022-10-08 22:47:57+00:00,👍 on @YouTube: Ja’s first starstruck moment 😳 ( via The Pivot Podcast ) #jamorant #ja #kyrie #kyrieirving https://t.co/OuXQAv1BfG,"['jamorant', 'ja', 'kyrie', 'kyrieirving']",IFTTT
6,6,Coastal Sports Cards,"Myrtle Beach, SC",Sports Card Shop in Myrtle Beach SC • #AlwaysBuying • Follow us on WhatNot @ CoastalSportsCards,False,2022-10-08 19:21:46+00:00,Another great looking card we were able to acquire today!! #jamorant #alwaysbuying #explore #myrtlebeach #nbacards @ Coastal Sports Cards https://t.co/xsTSoTGIIa,"['jamorant', 'alwaysbuying', 'explore', 'myrtlebeach', 'nbacards']",Instagram
7,7,Samuel Jacobson,"Starkville, MS","Starkville, MS Native. Have a love for sports and a hate for feminism. Bleed Red, White, and Blue. Retired Cow Feed Salesman.",False,2022-10-08 18:55:34+00:00,Can’t believe you clowns think Ja Morant is better than Trae Young. Trae is miles ahead of Morant and it’s not even fucking close. #traeyoung #jamorant #hawks #grizzlies,,Twitter for iPhone
8,8,👑 Ꮶ1ᏁᎶᏖ0ᎴᎴ 👑,on Youtube,Twitch Streamer and YouTube content creator,False,2022-10-08 15:53:34+00:00,"#PS4share Woo shit! Ja Morant be on FIRE!!! Just read his stats 

#Nba2k23 #JaMorant #NBA #2K #Basketball https://t.co/pb9zr3swwR","['PS4share', 'Nba2k23', 'JaMorant', 'NBA', '2K', 'Basketball']",PlayStation®Network
9,9,Chris Lebron (Prezzy),NYC 🗽,Host @OffTheBallPod Founder @OTB_Network #NYY #NYG #NYK The 🙌🏽,False,2022-10-08 15:24:46+00:00,Can Ja Morant get better ? #grizzlies #jamorant #nba https://t.co/q0nrF5vYIL via @YouTube,"['grizzlies', 'jamorant', 'nba']",Twitter for iPhone
10,10,Off The Ball Network,,"#1 Place for ELITE sports and entertainment content
Owner @OffTheBallPod @RealLebron89 
@OTBNBets
#OTBN
https://t.co/B7g3RyArya",False,2022-10-08 15:24:36+00:00,Can Ja Morant get better ? #grizzlies #jamorant #nba https://t.co/bg8J9oemue via @YouTube,"['grizzlies', 'jamorant', 'nba']",Twitter for iPhone
11,11,Chris Lebron (The Prez),NYC 🗽,Host @RealLebron89  🏀⛹🏽‍♂️Content Creator Owner @otb_network #NBADraft #NYK #NYY #NYG,False,2022-10-08 15:24:25+00:00,Can Ja Morant get better ? #grizzlies #jamorant #nba https://t.co/SbOTeZhqav via @YouTube,"['grizzlies', 'jamorant', 'nba']",Twitter for iPhone
12,12,Inspiredlovers Sport,,"Inspiredlovers Sports is a personal blog that brings Sports story from different category for fans satisfaction.
You don't have to know website url jst 4low us",False,2022-10-08 08:07:42+00:00,"Jordan Poole trade to Grizzlies makes Ja Morant gives 2-word reaction

Just when we thought the buzz surrounding Draymond Green and Jordan Poole’s fight was dying down a bit, video footage of the actual punch surfaced.  #DraymondGreen #JaMorant

https://t.co/m3VYsfvtnv https://t.co/8NzR2PuSH0",,Blog2Social APP
13,13,NBA News and Highlights,"Oregon, USA","#NBA News, Stats, Games, Highlights, and Transactions",False,2022-10-08 01:03:13+00:00,"Ja Morant with another amazing dunk!
#Grizzlies #BigMemphis #NBATwitter #NBAPreseason #NBA #Grizz #JaMorant
 https://t.co/9SBd29IFhY","['Grizzlies', 'BigMemphis', 'NBATwitter', 'NBAPreseason', 'NBA', 'Grizz', 'JaMorant']",Twitter for iPad
14,14,Dave Barthalow,"Collierville, TN",,False,2022-10-07 16:21:35+00:00,@NBAMemes No different than #JaMorant ordering food from #WaffleHouse. #ManGottaEatSomethingSomewhere,"['JaMorant', 'WaffleHouse', 'ManGottaEatSomethingSomewhere']",Twitter for iPhone
15,15,Locked On Grizzlies,"Memphis, TN","Your daily podcast source for the Memphis Grizzlies, part of the @lockedonsports Podcast network. Co-Hosts @DamichaelC @JoeMullinax",False,2022-10-07 14:09:03+00:00,"Listen to the Locked On Grizzlies Podcast
🎧 Linktree https://t.co/awW4RQ4RmK
🎧 Apple https://t.co/V5Tv4Cepok
🎧 Spotify https://t.co/ndlU3A9EBF
🎧 Audacy https://t.co/Hggd4HzyyX 
🎧 Stitcher https://t.co/DNTGpjTdHZ

#NBA #MemphisGrizzlies #JaMorant",,Twitter for iPhone
16,16,BulliesCardArt,"Philadelphia, PA",4 for 4 philly sports fan. Card Artist,False,2022-10-07 13:45:59+00:00,"The NBA is Back……

Ja Morant Foil /10#
$45 shipped

#cardart #custom #memphis #grizzlies #ja #jamorant #nba @CardArtConnect @hobbyretweeters @CardboardEchoes https://t.co/16QFyr65yB","['cardart', 'custom', 'memphis', 'grizzlies', 'ja', 'jamorant', 'nba']",Twitter for iPhone
17,17,Fadeaway World,,"https://t.co/pxJFnl3Ykb provides the top news, rumors, highlights, throwbacks and articles for the best fans in the world.",False,2022-10-07 13:30:00+00:00,"These stars were never shy to shoot the ball last season 👌

#lebronjames #devinbooker #jaysontatum #jamorant #kyrieirving #lukadoncic #nba https://t.co/9IcvltpiUV","['lebronjames', 'devinbooker', 'jaysontatum', 'jamorant']",Twitter Web App
18,18,Will Nolan,"Massachusetts, USA",,False,2022-10-07 03:29:12+00:00,"Ja Morant is easily the best 2k player of all time, would love to hear a disagreement to this statement #jamorant @willadams099",['jamorant'],Twitter for iPhone
19,19,Jared Parham,,,False,2022-10-06 21:46:10+00:00,Just finished a painting of @JaMorant to get ready for the season @memgrizz #letsgo #jamorant #ninja #memphisgrizzlies https://t.co/QS8Xfixtsw,"['letsgo', 'jamorant', 'ninja']",Twitter for iPhone
20,20,Sportskeeda Basketball,"Banglore, India",Sportskeeda - For the hardcore sports fan. The leading website for the best content on NBA and the game of basketball. A part of @sportskeeda.,True,2022-10-06 16:18:52+00:00,"These players GOT THE BAG during 2022 offseason! 💰

How will you rate these signings - Overpaid? Underpaid? Or just right?

#nikolajokic #devinbooker #bradleybeal #karlanthonytowns #zachlavine #jamorant #zionwilliamson #dariusgarland #damianlillard #jalenbrunson https://t.co/pi8slYLGDN",,Twitter for Android
21,21,Locked On Grizzlies,"Memphis, TN","Your daily podcast source for the Memphis Grizzlies, part of the @lockedonsports Podcast network. Co-Hosts @DamichaelC @JoeMullinax",False,2022-10-06 13:20:53+00:00,"Listen to the Locked On Grizzlies Podcast
🎧 Linktree https://t.co/awW4RQmsei
🎧 Apple https://t.co/V5Tv4BWNZK
🎧 Spotify https://t.co/ndlU3Arftd
🎧 Audacy https://t.co/Hggd4HhXan 
🎧 Stitcher https://t.co/DNTGpkaOzx

#NBA #MemphisGrizzlies #JaMorant",,Twitter for iPhone
22,22,MoChoppa,,My Name Mo And I’m A Twitch Streamer That Stream Both Console And Mobile Game And My Goal Is To Be Up There With The Other Top Gamers So I’m Grinding Everyday,False,2022-10-06 01:31:21+00:00,JA MORANT TOO SHIFTY IN THIS GAME OMG 🥶 #gamers #2kmobile #ContentCreator #MobileGame #JaMorant https://t.co/u8mehBF2ns,"['gamers', '2kmobile', 'ContentCreator', 'MobileGame', 'JaMorant']",Twitter for iPhone
23,23,Love NBA,,NAB Fanbase,False,2022-10-05 23:51:02+00:00,"Can Ja Morant Lead the #Grizzlies and Win #MVP?
 
https://t.co/h5VicmVpdJ
 
#JaMorant #MemphisGrizzlies #NbaMvp #SouthwestDivision #WesternConference https://t.co/ZBCGx9yXy1","['Grizzlies', 'MVP', 'JaMorant', 'MemphisGrizzlies', 'NbaMvp']",love.nba
