,user_name,user_location,user_description,user_verified,date,text,hashtags,source
0,PostUpVideos.com,"Fort Lauderdale, FL","We are revolutionizing how fanatical fans follow their favorite NBA teams, players and NBA Content Creators at https://t.co/kiMTwYwM5i .",False,2022-10-11 14:24:21+00:00,"NEW VIDEO TO WATCH:

""Atlanta Hawks Emerge As Suitor For Suns Forward Jae Crowder"" 

Creator:  Cyro Asseo

Brand New NBA Fan Video Platform: https://t.co/2f2wTS5T0e

#NBA #Hawks #AtlantaHawks

https://t.co/rcomFbz56U https://t.co/yUo3sw6aDz",,Blog2Social APP
1,PostUpVideos.com,"Fort Lauderdale, FL","We are revolutionizing how fanatical fans follow their favorite NBA teams, players and NBA Content Creators at https://t.co/kiMTwYwM5i .",False,2022-10-11 13:11:50+00:00,"NEW VIDEO TO WATCH:

""Atlanta Hawks Trade For Jae Crowder?!"" 

Creator:  As It Stands

Brand New NBA Fan Video Platform: https://t.co/2f2wTS5T0e

#NBA #Hawks #AtlantaHawks

https://t.co/eAPAkr5B0i https://t.co/4KrEL766UC",,Blog2Social APP
2,PostUpVideos.com,"Fort Lauderdale, FL","We are revolutionizing how fanatical fans follow their favorite NBA teams, players and NBA Content Creators at https://t.co/kiMTwYwM5i .",False,2022-10-11 12:14:46+00:00,"NEW VIDEO TO WATCH:

""Should The Phoenix Suns Trade Jae Crowder To The Atlanta Hawks?"" 

Creator:  Suns Geek

Brand New NBA Fan Video Platform: https://t.co/2f2wTS5T0e

#NBA #Hawks #AtlantaHawks

https://t.co/YmonHWIrvn https://t.co/xfVa0kKWwB",,Blog2Social APP
3,PostUpVideos.com,"Fort Lauderdale, FL","We are revolutionizing how fanatical fans follow their favorite NBA teams, players and NBA Content Creators at https://t.co/kiMTwYwM5i .",False,2022-10-11 11:30:41+00:00,"NEW VIDEO TO WATCH:

""The Atlanta Hawks Have Interest In Jae Crowder | The NBA Show"" 

Creator:  The NBA Show - Asseo &amp;amp; Upton

Brand New NBA Fan Video Platform: https://t.co/2f2wTRNJM6

#NBA #Hawks #AtlantaHawks

https://t.co/n5PMozAH9Z https://t.co/js8jETsKnZ",,Blog2Social APP
4,PostUpVideos.com,"Fort Lauderdale, FL","We are revolutionizing how fanatical fans follow their favorite NBA teams, players and NBA Content Creators at https://t.co/kiMTwYwM5i .",False,2022-10-11 10:33:20+00:00,"NEW VIDEO TO WATCH:

""Poole and Draymond Have Not Spoken - Jae Crowder to the Hawks? - Nike Signs Bronny James - NBA News"" 

Creator:  Courtside_Digest

Brand New NBA Fan Video Platform: https://t.co/2f2wTS5T0e

#NBA #Hawks #AtlantaHawks

https://t.co/XdczdpayED https://t.co/706RiHrGry",,Blog2Social APP
5,Metaverse Tom from #MetaBoys 🥷🏽,"Atlanta, GA",Facebook https://t.co/HHwuvaKVZk Instagram https://t.co/eUCfpMGBg1 TikTok https://t.co/vglUAojWmd creator @nftjukebox,False,2022-10-11 10:16:41+00:00,"official “Knuck if You Buck” merchandise is now available online …. Get fresh then get your tickets 🎟 for the Millennium Tour - Turned Up featuring the legends of crunk …..Crime Mob Merch link - https://t.co/vqxm8tpxTm

 #atlantabraves #atlantahawks #lifestyle #beach https://t.co/8SF0hdW5uZ https://t.co/sHSDWahEka",,Twitter for iPhone
6,Love NBA,,NAB Fanbase,False,2022-10-11 07:57:02+00:00,"Trae Young Optic Holo PSA 9 $110 shipped
 
https://t.co/sLd5LIgjbJ
 
#AtlantaHawks #EasternConference #SoutheastDivision https://t.co/TMhubL3Piz","['AtlantaHawks', 'EasternConference']",love.nba
7,Love NBA,,NAB Fanbase,False,2022-10-11 07:18:02+00:00,"Should The #Phoenix #Suns Trade Jae ...
 
https://t.co/0sJAcbs7yD
 
#AaronHoliday #AtlantaHawks #AtlantaHawksJaeCrowder #AtlantaHawksTrade #BogdanBogdanovic #DeandreHunter #EasternConference #JaeCrowder #JaeCrowderHawks #JaeCrowderPhoenixSuns #JaeCrowderSuns #JaeCrowderTrade https://t.co/Q4EThN826D","['Phoenix', 'Suns', 'AaronHoliday', 'AtlantaHawks']",love.nba
8,Love NBA,,NAB Fanbase,False,2022-10-11 05:17:02+00:00,"The #Atlanta #Hawks Have Interest In Jae ...
 
https://t.co/h17ATQuGs8
 
#AtlantaHawks #AtlantaHawksAbuDhabi #AtlantaHawksAnalysis #AtlantaHawksDejounteMurray #AtlantaHawksHighlights #AtlantaHawksNews #AtlantaHawksPreseason #AtlantaHawksPreseason2022 #AtlantaHawksRebuild https://t.co/ZkzQHuNilL","['Atlanta', 'Hawks', 'AtlantaHawks', 'AtlantaHawksAbuDhabi']",love.nba
9,TalkBasket,Basketball World,"EuroLeague and FIBA media partner, all latest news from the NBA and the world of basketball. Get in touch at info@talkbasket.net",False,2022-10-11 04:25:29+00:00,Suns looking to acquire rotational pieces for Jae Crowder instead of future assets – report #AtlantaHawks #ClevelandCavaliers #JaeCrowder #MiamiHeat #MilwaukeeBucks https://t.co/JbBhG8VHhY,['AtlantaHawks'],TalkBasket
10,Love NBA,,NAB Fanbase,False,2022-10-11 02:36:02+00:00,"Breaking down Trae Young&amp;#39;s 31-PT ...
 
https://t.co/U2g0NNB2kt
 
#AbuDhabiNba #AtlantaHawks #BucksHawks #BucksHawksNba #EasternConference #ESPN #ESPNNBA #ESPNNBAToday #HawksBasketball #HawksBucks #HawksBucksHighlights #MalikaAndrews #MilwaukeeBucks #Nba2022 #NbaAbuDhabi https://t.co/6JdoDMIDS7","['AbuDhabiNba', 'AtlantaHawks', 'BucksHawks']",love.nba
11,104.7 The Fish,"Atlanta, Georgia","Encouraging, Positive, Uplifting Love Studio Line 📞 770-659-1047",True,2022-10-10 20:57:38+00:00,ATTN @ATLHawks fans! 🏀 @BethBacall has your chance to support our #DayofHope with #FoodForThePoor and receive this special gift. Listen for details or call the studio line at 770-659-1047. #atlantahawks https://t.co/0gM2uSoo5y,"['DayofHope', 'FoodForThePoor']",Twitter for iPhone
12,#SirSliceCakeDay 🔪 🍰,"Space Mountain 🛸🏔️ , NC ",#KingsRUs 👑 Platinum Producer Songwriter 📝,False,2022-10-10 18:44:30+00:00,"#BlackMamba #LosAngelesLakers uniforms 
#MLK #AtlantaHawks uniforms 
#BuzzCity #CharlotteHornets uniforms 
#throwback #memphisgrizzlies uniforms 
#NBATwitter best #nba uniforms arguably","['BlackMamba', 'LosAngelesLakers', 'MLK', 'AtlantaHawks', 'BuzzCity', 'CharlotteHornets']",Twitter for iPhone
13,MyNextSeat,"Florida, USA",MyNextSeat is part of the WebPass Social Network a social media marketing agency,False,2022-10-10 17:38:05+00:00,#NBA #PhoenixSuns #AtlantaHawks #JaeCrowder Hawks reportedly interested in Suns' Jae Crowder https://t.co/F2Z4HmGUdI,"['NBA', 'PhoenixSuns', 'AtlantaHawks', 'JaeCrowder']",dlvr.it
14,Love NBA,,NAB Fanbase,False,2022-10-10 16:06:01+00:00,"Game 1 Milwaukee Bucks vs Atlanta ...
 
https://t.co/dMVmZ3Cwhv
 
#ABUDHABIUAE #CRISHBOSH #DOMINIQUEWILKINS #ETIHADARENA #LUISSCOLA #NBAGLOBALGAME #NBAHALLOFFAMERS #NBAPRESEASONGAMEUAE #RANGEEVSINGH #RIMROCKERS #YASISLANDABUDHABI #AtlantaHawks #BucksVsHawks #CentralDivision https://t.co/iHIARgSiKx","['ABUDHABIUAE', 'CRISHBOSH', 'DOMINIQUEWILKINS']",love.nba
15,PostUpVideos.com,"Fort Lauderdale, FL","We are revolutionizing how fanatical fans follow their favorite NBA teams, players and NBA Content Creators at https://t.co/kiMTwYwM5i .",False,2022-10-10 13:41:49+00:00,"NEW VIDEO TO WATCH:

""Who Do YOU Want? Trae Young or Ja Morant?"" 

Creator:  2Shawty

Brand New NBA Fan Video Platform: https://t.co/2f2wTS5T0e

#NBA #Hawks #AtlantaHawks

https://t.co/5By5Q2KjYK https://t.co/KIEdKt95Hv",,Blog2Social APP
16,PostUpVideos.com,"Fort Lauderdale, FL","We are revolutionizing how fanatical fans follow their favorite NBA teams, players and NBA Content Creators at https://t.co/kiMTwYwM5i .",False,2022-10-10 13:34:11+00:00,"NEW VIDEO TO WATCH:

""EXCLUSIVE INTERVIEW PAT BENSON https://t.co/73AB7sdAY7 TALK ATLANTA HAWKS | TRAE YOUNG 2.0 |"" 

Creator:  A1Forever

Brand New NBA Fan Video Platform: https://t.co/2f2wTRNJM6

#NBA #Hawks #AtlantaHawks

https://t.co/1RPYB9uqgg https://t.co/9QEXx9GooK",,Blog2Social APP
17,Love NBA,,NAB Fanbase,False,2022-10-10 12:40:02+00:00,"The Atlanta #Hawks Signed Chris Silva To A Deal
 
https://t.co/T3q8Sj6D3B
 
#AtlantaHawks #AtlantaHawksNbaRumors #AtlantaHawksNews #AtlantaHawksNewsAndRumors #AtlantaHawksRumors #AtlantaHawksTrade #AtlantaHawksTradeNews #AtlantaHawksTradeRumors #AtlantaHawksTradeRumors2022 https://t.co/4AnXQeTfKK","['Hawks', 'AtlantaHawks', 'AtlantaHawksNbaRumors']",love.nba
18,Raw Chili,,,False,2022-10-10 12:30:02+00:00,"Anybody here interested in either one of these Mitchell &amp; Ness jackets? Figured I would ask #Hawks ... 
 
https://t.co/594Oepaks0
 
#Atlanta #AtlantaHawks #Basketball #Georgia #NationalBasketballAssociation #NBA #NBAEasternConference #NBAEasternConferenceSoutheastDivision https://t.co/6cfufv04aU",['Hawks'],raw-chili
19,PostUpVideos.com,"Fort Lauderdale, FL","We are revolutionizing how fanatical fans follow their favorite NBA teams, players and NBA Content Creators at https://t.co/kiMTwYwM5i .",False,2022-10-10 12:25:41+00:00,"NEW VIDEO TO WATCH:

""Our First Glimpse at the 2022-23 Atlanta Hawks | Hawksology Wrap-Up #1 - Hawks vs Bucks G1 Preseason"" 

Creator:  Hawksology

Brand New NBA Fan Video Platform: https://t.co/2f2wTS5T0e

#NBA #Hawks #AtlantaHawks

https://t.co/mnWVZ3zJO4 https://t.co/eThhdT0Yz1",,Blog2Social APP
20,Love NBA,,NAB Fanbase,False,2022-10-10 11:42:02+00:00,"Trae might literally got that dog in him tonight
 
https://t.co/Pjc4gszONm
 
#AtlantaHawks #EasternConference #SoutheastDivision https://t.co/wYLKbAcv6f","['AtlantaHawks', 'EasternConference']",love.nba
21,Love NBA,,NAB Fanbase,False,2022-10-10 10:39:02+00:00,"Atlanta Falcons vs. Tampa Bay Buccaneers | 2022 Week 5 Highlights
 
https://t.co/QbS9p9Ahgx
 
#AtlantaHawks #EasternConference #SoutheastDivision https://t.co/NUxcY1oT49",['AtlantaHawks'],love.nba
22,Love NBA,,NAB Fanbase,False,2022-10-10 06:23:03+00:00,"The Atlanta #Hawks NEED To Pair Dejounte ...
 
https://t.co/NtZIpwOkZQ
 
#ALLSTAR #AtlantaHawks #AtlantaSportsRadio #DejounteMurray #EasternConference #JohnCollins #NationalBasketballAssociation #NBA #NbaAllStar #NbaAllStarWeekend #SanAntonioSpurs #SoutheastDivision #Spurs https://t.co/vG0OA8WOit","['Hawks', 'ALLSTAR', 'AtlantaHawks', 'AtlantaSportsRadio']",love.nba
23,Raw Chili,,,False,2022-10-10 06:01:06+00:00,"Our First Glimpse at the 2022-23 #Atlanta #Hawks | Hawksology Wrap-Up #1 - #Hawks vs Bucks G1 Preseason 
 
https://t.co/o12yKcbZg3
 
#AtlantaHawks #Basketball #Georgia #NationalBasketballAssociation #NBA #NBAEasternConference #NBAEasternConferenceSoutheastDivision https://t.co/YZ4CUporwZ","['Atlanta', 'Hawks', 'Hawks']",raw-chili
24,Love NBA,,NAB Fanbase,False,2022-10-10 01:47:02+00:00,"Our First Glimpse at the 2022-23 Atlanta Hawks | Hawksology Wrap-Up #1 - Hawks vs Bucks G1 Preseason
 
https://t.co/keZyOn2DUi
 
#AtlantaHawks #EasternConference #SoutheastDivision https://t.co/5BztnDISX5",,love.nba
25,Love NBA,,NAB Fanbase,False,2022-10-10 00:41:03+00:00,"Giannis Antetokounmpo Said This About Atlanta Hawks After Getting Beat Twice.. You Wont Believe it
 
https://t.co/KieXk2PdG9
 
#AtlantaHawks #DejounteMurray #EasternConference #GIANNISANTETOKOUNMPO #JrueHoliday #MilwaukeeBucks #NBA #SoutheastDivision #TraeYoung https://t.co/BdTjeKWuOR",,love.nba
26,Love NBA,,NAB Fanbase,False,2022-10-09 23:39:02+00:00,"Are the Atlanta Hawks being DISRESPECTED? Celtics HUGE FALL OFF? NBA East Power rankings!
 
https://t.co/vLhowoGaKd
 
#AtlantaHawks #EasternConference #SoutheastDivision https://t.co/dc1N2Xof8t",,love.nba
27,Love NBA,,NAB Fanbase,False,2022-10-09 22:36:03+00:00,"One of my fav purchases ever :)
 
https://t.co/3XAxRVf6TB
 
#AtlantaHawks #EasternConference #SoutheastDivision https://t.co/LPrADLFHzm","['AtlantaHawks', 'EasternConference', 'SoutheastDivision']",love.nba
28,Love NBA,,NAB Fanbase,False,2022-10-09 19:31:02+00:00,"AJ Green Highlights vs Atlanta Hawks | Oct 8 | 2023 NBA Rookies
 
https://t.co/hkZxGSibYa
 
#AtlantaHawks #EasternConference #SoutheastDivision https://t.co/8WHXBIR4Kt",['AtlantaHawks'],love.nba
29,Raw Chili,,,False,2022-10-09 18:58:02+00:00,"See ya on the 12th folks. 
 
https://t.co/yEZA9rwLP9
 
#Atlanta #AtlantaHawks #Basketball #Georgia #Hawks #NationalBasketballAssociation #NBA #NBAEasternConference #NBAEasternConferenceSoutheastDivision https://t.co/1oON2eA8js","['Atlanta', 'AtlantaHawks', 'Basketball', 'Georgia', 'Hawks']",raw-chili
30,Love NBA,,NAB Fanbase,False,2022-10-09 18:45:03+00:00,"Roster Update: We have requested waivers on guards Armoni Brooks, Malik Ellison, Tyson Etienne, and forward Chris Silva.
 
https://t.co/K1YZT5h64e
 
#AtlantaHawks #EasternConference #SoutheastDivision https://t.co/G3MiapERID",,love.nba
31,SFS,,,False,2022-10-09 18:24:24+00:00,TR#AE YOUNG FROM THE LOGOOOOOO OMG #espn #nbahighlights #atlantahawks https://t.co/qHHhBWEqe7 via @YouTube,"['espn', 'nbahighlights', 'atlantahawks']",Twitter Web App
32,A1FOREVER,ATLANTA GA,"Aspiring Sports Analyst,#CaptainFalcon  #DejounTrae, 💙 ATL Sports https://t.co/a2hXlFMdOD",False,2022-10-09 18:04:52+00:00,Man that was a 🔥🔥🔥 interview I just had with the one and only @Pat_Benson_Jr 🙏🏿🙏🏿🙏🏿 coming to the #A1forever YouTube channel sooon 👀👀👀 #AtlantaHawks,['A1forever'],Twitter for Android
33,Love NBA,,NAB Fanbase,False,2022-10-09 17:51:02+00:00,"Hawks legend Ja Morant
 
https://t.co/L8TIzCxXsc
 
#AtlantaHawks #EasternConference #SoutheastDivision https://t.co/mL8Fs01Zlj","['AtlantaHawks', 'EasternConference', 'SoutheastDivision']",love.nba
34,Love NBA,,NAB Fanbase,False,2022-10-09 17:19:02+00:00,"WILD Overtime Ending In Detroit 😱
 
https://t.co/OFBXgZ1AZH
 
#AtlantaHawks #Basketball #CentralDivision #DetroitPistons #EasternConference #GLeague #Game0022100968 #NBA #Team1610612737 https://t.co/JZe8fEg4Kp","['AtlantaHawks', 'Basketball', 'CentralDivision']",love.nba
35,Matthias Wilke /Rangerbure,Berlin,ruhiger Typ ... keine Ahnung was ich manchmal Schreibe ...Sportergebnisse(Mitteilung)...(SerienFan),False,2022-10-09 16:24:47+00:00,"Ende #Basketball Herren #NBASaisonvorbereitung 
118:109 #AtlantaHawks vs MilwaukeeBucks","['Basketball', 'NBASaisonvorbereitung', 'AtlantaHawks']",Twitter Web App
36,NBA Fanatics,,"Follow the action on NBA scores, schedules, stats, news, Team and Player news #nbanews #nbamatch",False,2022-10-09 16:04:03+00:00,“Tryna get to LA” Trae Young reveals ‘Real’ reason why Draymond Green lost his temper against Jordan Poole https://t.co/FmQsUhoCXM #AtlantaHawks #GoldenStateWarriors,,dlvr.it
37,Love NBA,,NAB Fanbase,False,2022-10-09 15:00:02+00:00,"This Atlanta Hawks offense looks scary(breaking down plays)
 
https://t.co/doFADbQaWv
 
#AtlantaHawks #EasternConference #SoutheastDivision https://t.co/VwfzRu9oqM",['AtlantaHawks'],love.nba
38,SNN,"Sarasota, FL","Your local news leader
News, Weather, & Sports in Sarasota, Manatee, Charlotte and DeSoto counties
Have a news tip? Call (941)361-4600 or email news@snntv.com",True,2022-10-09 14:30:00+00:00,"Players and coaches of the Tampa Bay Buccaneers and the Atlanta Falcons volunteered with the American Red Cross to help those impacted by Hurricane Ian.

MORE: https://t.co/r0aupISquP

@sydneyroell 

#hurricaneian
#TampaBayBuccaneers
#AtlantaHawks",,TweetDeck
