,user_name,user_location,user_description,user_verified,date,text,hashtags,source
0,Kellyta,"Florida, USA",Siempre se vuelve al lugar que te hizo feliz (🇬🇹/🇺🇸),False,2022-10-11 15:24:20+00:00,Let’s go Heat!!! (Me emociono 😂) 🏀♥️ #MiamiHeat @MiamiHEAT https://t.co/IDrvJKBdtF https://t.co/PwSYCqesvj,['MiamiHeat'],Twitter for iPhone
1,Best App,"Los Angeles, CA","⬇️ Download the #Best #App : https://t.co/XqjGm5wAoM
❤️ What's #Best Today ? 
💲 Discover, Share & Win the Best !",False,2022-10-11 15:15:45+00:00,"Share the #Best #sportsday content
Download the Best #app : https://t.co/29sgyGJ4uG
#nbapreseason #sportsday #bestsportsday #nba #washwizards #sixers #miamiheat #sports

https://t.co/OqP7dQ4hBp https://t.co/H9JNmOarm3","['Best', 'sportsday', 'app', 'nbapreseason', 'sportsday']",THEDOTBEST
2,.Best Top-Level Domain,,"🌐 Register your .Best #Domain → https://t.co/8O1iGgbMLH
❤️ Download the Best #App → https://t.co/1ON2gEL3Nv
🛡️ Protect your #Brand → https://t.co/hYeU8VMWmj
📰 Join the #Best #Revue → https://t.co/tKDez2061r",False,2022-10-11 15:15:39+00:00,"#Best of the day on https://t.co/mk8w5Uc3Tb
#NBAPreseason Ws for the #washwizards, #sixers, #miamiheat 
https://t.co/9oDX8zfeD3
#sportsday #nbapreseason #sportsday #bestsportsday #nba #washwizards #sixers #miamiheat #sports","['Best', 'NBAPreseason', 'washwizards', 'sixers', 'miamiheat']",BestTLDApp
3,.Best Top-Level Domain,,"🌐 Register your .Best #Domain → https://t.co/8O1iGgbMLH
❤️ Download the Best #App → https://t.co/1ON2gEL3Nv
🛡️ Protect your #Brand → https://t.co/hYeU8VMWmj
📰 Join the #Best #Revue → https://t.co/tKDez2061r",False,2022-10-11 15:15:37+00:00,"Download the Best #app to share your #Best #sportsday content : https://t.co/3LwU9aPoXG
#nbapreseason #sportsday #bestsportsday #nba #washwizards #sixers #miamiheat #sports

https://t.co/TgKLLMSg6G https://t.co/wJvy5xhaW7","['app', 'Best', 'sportsday', 'nbapreseason', 'sportsday']",BestTLDApp
4,Best App,"Los Angeles, CA","⬇️ Download the #Best #App : https://t.co/XqjGm5wAoM
❤️ What's #Best Today ? 
💲 Discover, Share & Win the Best !",False,2022-10-11 15:15:31+00:00,"What's #Best on https://t.co/wNwLoFiBgu ?
#NBAPreseason Ws for the #washwizards, #sixers, #miamiheat 
https://t.co/V1zEACbZxI
#sportsday #nbapreseason #sportsday #bestsportsday #nba #washwizards #sixers #miamiheat #sports","['Best', 'NBAPreseason', 'washwizards', 'sixers', 'miamiheat']",THEDOTBEST
5,.Best Top-Level Domain,,"🌐 Register your .Best #Domain → https://t.co/8O1iGgbMLH
❤️ Download the Best #App → https://t.co/1ON2gEL3Nv
🛡️ Protect your #Brand → https://t.co/hYeU8VMWmj
📰 Join the #Best #Revue → https://t.co/tKDez2061r",False,2022-10-11 15:15:29+00:00,"Download the Best #app to share your #Best #sportsday content : https://t.co/3LwU9aPoXG
#nbapreseason #sportsday #bestsportsday #nba #washwizards #sixers #miamiheat #sports

https://t.co/gjRv8Ja4jq https://t.co/9aTvG3aMn8","['app', 'Best', 'sportsday', 'nbapreseason', 'sportsday']",BestTLDApp
6,Best App,"Los Angeles, CA","⬇️ Download the #Best #App : https://t.co/XqjGm5wAoM
❤️ What's #Best Today ? 
💲 Discover, Share & Win the Best !",False,2022-10-11 15:15:23+00:00,"Share the #Best #sportsday content
Download the Best #app : https://t.co/29sgyGJ4uG
#nbapreseason #sportsday #bestsportsday #nba #washwizards #sixers #miamiheat #sports

https://t.co/eUAZbDCC18 https://t.co/TNJhE2gwpf","['Best', 'sportsday', 'app', 'nbapreseason', 'sportsday']",THEDOTBEST
7,CYRIL FREMONT,"Paris, France","✈️ #ceo .Best #Domains → https://t.co/BoJlg0gjSG
❤️ #creator Best #App → https://t.co/CGuTzGaZTY
📰 #curator Best #Revue → https://t.co/qOPWX45Vur
🌐 what's my #Best → https://t.co/dQ7I6WPjeF",False,2022-10-11 15:15:17+00:00,"What's #Best on https://t.co/NQOcMy4Q2g ?
#NBAPreseason Ws for the #washwizards, #sixers, #miamiheat 
https://t.co/DNaAOjvob8
#sportsday #nbapreseason #sportsday #bestsportsday #nba #washwizards #sixers #miamiheat #sports","['Best', 'NBAPreseason', 'washwizards', 'sixers', 'miamiheat']",BestTLD
8,Chad Weaver 🔥🏀,,Miami Heat lifer,False,2022-10-11 15:00:00+00:00,Days until #miamiheat basketball: 8⃣ https://t.co/oY8THiHgos,['miamiheat'],Twitter Web App
9,@RileyAndyandSpo,Heat Nation,,False,2022-10-11 14:29:32+00:00,"Marcus Garrett - GREAT defender
Garrett - Okay passer
Garrett - Okay shooter
Garrett - Okay playmaker
Dru Smith - good defender
Smith - Good passer
Smith - Good playmaker
Smith - Good shooter
Which player would you rather have on a 2way contract? 
#MIAMIHEAT #heat",,Twitter Web App
