,user_name,user_location,user_description,user_verified,date,text,hashtags,source
0,Love NBA,,NAB Fanbase,False,2022-10-11 14:47:03+00:00,"Washington Wizards vs ...
 
https://t.co/sFcu1W1ono
 
#CharlotteHornets #EasternConference #FreeNbaBettingPredictionsToday #NbaBettingPicks #NbaBettingPredictionToday #NbaBettingPredictions #NbaBettingPredictionsToday #NbaBettingTips #NbaBettingTipsToday #NbaFreePicks https://t.co/uSIVsVACD9","['CharlotteHornets', 'EasternConference']",love.nba
1,Sterling Thrill,Angel Grove,"Virtual Showman, Comedian, Host, Booker & Creator of Brite Entertainment and Trivia Tag Live. Destroyer of Oreos",False,2022-10-11 14:26:42+00:00,"True or False?

#charlottenc #charlottesports #charlottefc #carolinapanthers #charlottehornets #sterlingthrill https://t.co/GaOCyftj8D","['charlottenc', 'charlottesports', 'charlottefc', 'carolinapanthers', 'charlottehornets', 'sterlingthrill']",Twitter for iPhone
2,Love NBA,,NAB Fanbase,False,2022-10-11 14:21:02+00:00,"Terry Rozier on LaMelo's Injury: ""I got hurt in the preseason in practice and couldn’t be with the guys at the beginning of the season. I don’t think that’s going to happen with Melo.""
 
https://t.co/0zA53kEQth
 
#CharlotteHornets #EasternConference #SoutheastDivision https://t.co/piki8BigCC",,love.nba
3,Love NBA,,NAB Fanbase,False,2022-10-11 13:52:02+00:00,"#Lamelo BLOCKS 7’3 PORZIGIS (#Liangelo SCORES IN 4TH PRESEASON GAME) #Hornets VS #Wizards
 
https://t.co/zBMtG1IyWN
 
#CharlotteHornets #EasternConference #Gelo #LameloBall #LiangeloBall #Melo #SoutheastDivision #WashingtonWizards https://t.co/BCs7F05WY3","['Lamelo', 'Liangelo', 'Hornets', 'Wizards']",love.nba
4,Love NBA,,NAB Fanbase,False,2022-10-11 13:49:02+00:00,"🔴 WASHINGTON WIZARDS @ CHARLOTTE #Hornets PRESEASON LIVE WATCH PA ...
 
https://t.co/ACUFRADZVF
 
#CharlotteHornets #CharlotteNba #EasternConference #FanReaction #HornetsFan #HornetsFans #LameloBall #NBA #NbaFan #NbaFanChannel #SamDracula #SoutheastDivision #WashingtonWizards https://t.co/f9i3rS0kTv","['Hornets', 'CharlotteHornets']",love.nba
5,Love NBA,,NAB Fanbase,False,2022-10-11 12:51:02+00:00,"Kristaps Porzingis limps to locker room with ankle ...
 
https://t.co/PHUliSk0T9
 
#CharlotteHornets #EasternConference #KristapsPorzingis #KristapsPorzingisAnkle #KristapsPorzingisAnkleInjury #KristapsPorzingisHighlights #KristapsPorzingisInjured #KristapsPorzingisInjury https://t.co/H2p2V3oMNE",['CharlotteHornets'],love.nba
6,Love NBA,,NAB Fanbase,False,2022-10-11 11:30:02+00:00,"#Lamelo Ball sprains his ankle in Charlotte ...
 
https://t.co/yIZPYUlIpF
 
#CharlotteHornets #CharlotteHornetsDepthChart #CharlotteHornetsDraft #CharlotteHornetsNews #CharlotteHornetsSchedule #EasternConference #HornetsDepthChart #HornetsDraft #HornetsGame #HornetsGameRecap https://t.co/UB0rfhuxJR","['Lamelo', 'CharlotteHornets']",love.nba
7,FirstSportz,New Delhi,FirstSportz is the First Stop for all sports fanatics like you and us | Get all the latest updates here,False,2022-10-11 11:18:05+00:00,“Another Michael Jordan crying meme incoming” LaMelo Ball suffers devastating ankle injury which could hamper Hornets’ playoffs aspirations https://t.co/fmrZf8lKeu #CharlotteHornets #NBA,,dlvr.it
8,Raw Chili,,,False,2022-10-11 10:57:02+00:00,"Post Game Thread: The Washington Wizards defeat The #Charlotte #Hornets 116-107 
 
https://t.co/KT9xeCc6Rn
 
#Basketball #CharlotteHornets #NationalBasketballAssociation #NBA #NBAEasternConference #NBAEasternConferenceSoutheastDivision #NorthCarolina https://t.co/sTg6k6KlVQ","['Charlotte', 'Hornets']",raw-chili
9,Love NBA,,NAB Fanbase,False,2022-10-11 10:05:03+00:00,"LaMelo and Hornets LOST IT after rookie Kai Jones hit splits at an Open Practice dance competition 😂
 
https://t.co/1FKaiscksz
 
#Basketball #CharlotteHornets #EasternConference #NBA #SoutheastDivision https://t.co/5svsuBZa0c",,love.nba
10,Love NBA,,NAB Fanbase,False,2022-10-11 08:46:02+00:00,"Washington Wizards vs Charlotte Hornets ...
 
https://t.co/ZhpTUK8368
 
#CharlotteHornets #EasternConference #JonathanKuminga #KlayThompson #LebronJames #NbaGameToday #NbaHighlight #NbaHighlightGame #SoutheastDivision #STEPHENCURRY #TopNba #Warriors #WarriorsGameHighlight https://t.co/DSKwM9zaAO","['CharlotteHornets', 'EasternConference']",love.nba
11,Love NBA,,NAB Fanbase,False,2022-10-11 08:42:02+00:00,"Washington #Wizards vs Charlotte #Hornets - ...
 
https://t.co/MmlJNcBtRm
 
#CelticsVsHornets #CelticsVsHornetsPreseason #CharlotteHornets #CharlotteHornetsVsWashingtonWizardsPrediction #EasternConference #HornetsVsWizards #HornetsVsWizardsLive #NbaPreseason #PacersVsHornets https://t.co/oaNNPet3Po","['Wizards', 'Hornets', 'CelticsVsHornets']",love.nba
12,Love NBA,,NAB Fanbase,False,2022-10-11 07:07:02+00:00,"Washington Wizards vs Charlotte Hornets - Full ...
 
https://t.co/w4lImFXSMM
 
#CharlotteHornets #EasternConference #FullGameHighlights #LongFullGameHighlights #NbaFullGameHighlights #NbaPreseason #NbaPreseason2022 #SoutheastDivision #WizardsVsHornets #WizardsVsHornets2022 https://t.co/ylI1ZP05bB","['CharlotteHornets', 'EasternConference']",love.nba
13,Love NBA,,NAB Fanbase,False,2022-10-11 04:58:02+00:00,"Charlotte Hornets Vs Washington ...
 
https://t.co/gFvWrof1SL
 
#AnthonyDavis #BenSimmons #CarmeloAnthony #CharlotteHornets #ChrisPaul #DamianLillard #DevinBooker #EasternConference #Giannis #JimmyButler #JoelEmbiid #KAWHILEONARD #KevinDurant #KlayThompson #KyrieIrving https://t.co/aelozJUoiW","['AnthonyDavis', 'BenSimmons', 'CarmeloAnthony']",love.nba
14,UniMockups,Photoshop,Premium Photoshop and Illustrator sports mockup templates and more. Change The Game. Proud partner of @sportsTemplate,False,2022-10-11 04:34:51+00:00,"I made all 30 NBA team logos into Google icons. Here's the Charlotte Hornets. Follow to see the whole series.

#nbaxgoogle #buzzcity #charlottehornets #charlotte #hornets #lameloball #unimockups #logodesign #CapCut #NBATwitter https://t.co/azaje1G5kR https://t.co/xJzVwMyNqp",,Twitter for Android
15,Love NBA,,NAB Fanbase,False,2022-10-11 03:54:02+00:00,"Post Game Thread: The Washington Wizards defeat The Charlotte Hornets 116-107
 
https://t.co/az6RaKBafS
 
#CharlotteHornets #EasternConference #SoutheastDivision https://t.co/OC2JbFCJKY",,love.nba
16,Love NBA,,NAB Fanbase,False,2022-10-11 02:28:03+00:00,"Washington Wizards vs Charlotte Hornets ...
 
https://t.co/E0jYooH3a0
 
#CharlotteHornets #EasternConference #JonathanKuminga #KlayThompson #LebronJames #NbaGameToday #NbaHighlight #NbaHighlightGame #SoutheastDivision #STEPHENCURRY #TopNba #Warriors #WarriorsGameHighlight https://t.co/b9ZbNsyYFJ","['CharlotteHornets', 'EasternConference']",love.nba
17,BIG FED ‼️🦍,,,False,2022-10-11 02:19:40+00:00,Idk how we got blew out in the 4th Quarter #CharlotteHornets 😒,['CharlotteHornets'],Twitter for iPhone
18,NuMediaNetwork,,A Social Network Of Creators Dedicated To Putting Out The Truth For The People By The People,False,2022-10-11 01:29:25+00:00,Join the  NuMedia Spaces ‼️ #CharlotteHornets #Hornets #LaMeloBall #LiAngeloBall #NickRichards #JamesBouknight #BryceMcGowens #WashingtonWizards #Wizards https://t.co/Vl0UclTHF3,"['CharlotteHornets', 'Hornets', 'LaMeloBall', 'LiAngeloBall', 'NickRichards', 'JamesBouknight']",Twitter for iPhone
19,Donna Knight,,,False,2022-10-11 01:20:42+00:00,Watching my favorite NBA player and adopted son!! Go Bryce McGowens and Charlotte Hornets! #BryceMcgowens #CharlotteHornets https://t.co/vc9wmO6rsE,['BryceMcgowens'],Twitter for iPhone
20,Scott Burgess,,Espn 730 writer and Co producer,False,2022-10-10 22:59:37+00:00,"Check out our latest episode with a Charlotte legend and take a listen on our season expectations!

#Charlottehornets #hornets #NBA 

 https://t.co/XUy7fhRWs3",,Twitter for iPhone
21,NuMediaNetwork,,A Social Network Of Creators Dedicated To Putting Out The Truth For The People By The People,False,2022-10-10 22:39:34+00:00,"We are LIVE right now in Rev's King Fuse's Lit House ‼️ Click the link to join the stream. Subscribe, Like, Share, &amp; Comment https://t.co/BVNz2tF9CY #LaMeloBall #LiAngeloBall #JamesBouknight #CharlotteHornets #Hornets #BradleyBeal #KyleKuzma #NBA @KingFuseLit",,Twitter for iPhone
22,Love NBA,,NAB Fanbase,False,2022-10-10 20:26:02+00:00,"Game Thread: Washington Wizards (0-2) at Charlotte Hornets (0-3) Oct 10 2022 7:00 PM
 
https://t.co/bTCs14puIx
 
#CharlotteHornets #EasternConference #SoutheastDivision https://t.co/Upk6L7hW09",,love.nba
23,Love NBA,,NAB Fanbase,False,2022-10-10 19:47:02+00:00,"What would it take for the Charlotte ...
 
https://t.co/Zw5FiegoYj
 
#CharlotteHornets #CharlotteHornetsDepthChart #CharlotteHornetsDraft #CharlotteHornetsNews #CharlotteHornetsSchedule #EasternConference #HornetsDepthChart #HornetsDraft #HornetsGame #HornetsGameRecap https://t.co/87NKfiAi8v","['CharlotteHornets', 'CharlotteHornetsDepthChart']",love.nba
24,#SirSliceCakeDay 🔪 🍰,"Space Mountain 🛸🏔️ , NC ",#KingsRUs 👑 Platinum Producer Songwriter 📝,False,2022-10-10 18:44:30+00:00,"#BlackMamba #LosAngelesLakers uniforms 
#MLK #AtlantaHawks uniforms 
#BuzzCity #CharlotteHornets uniforms 
#throwback #memphisgrizzlies uniforms 
#NBATwitter best #nba uniforms arguably","['BlackMamba', 'LosAngelesLakers', 'MLK', 'AtlantaHawks', 'BuzzCity', 'CharlotteHornets']",Twitter for iPhone
25,Love NBA,,NAB Fanbase,False,2022-10-10 17:15:02+00:00,"Kai Jones is a treasure and we must protect him at all costs
 
https://t.co/SPBBy579Te
 
#CharlotteHornets #EasternConference #SoutheastDivision https://t.co/c1ZDbMLVqx",['CharlotteHornets'],love.nba
26,Love NBA,,NAB Fanbase,False,2022-10-10 16:02:02+00:00,"Charlotte Hornets miss out on Darvin Ham ...
 
https://t.co/thwsB0cCrU
 
#CharlotteHornets #CharlotteHornetsDepthChart #CharlotteHornetsDraft #CharlotteHornetsNews #CharlotteHornetsSchedule #EasternConference #HornetsDepthChart #HornetsDraft #HornetsGame #HornetsGameRecap https://t.co/c37lS6rMPg",['CharlotteHornets'],love.nba
27,Love NBA,,NAB Fanbase,False,2022-10-10 12:36:02+00:00,"Golden State Warriors vs Charlotte Hornets Full Game Highlights | November 14 | 2022 NBA Season
 
https://t.co/OsZrKsDeqh
 
#CharlotteHornets #EasternConference #SoutheastDivision https://t.co/bmkmbSJd4I",,love.nba
28,Love NBA,,NAB Fanbase,False,2022-10-10 10:37:02+00:00,"LaMelo Ball FOULED OUT! 23 PTS, 10 AST  vs Celtics 🔥
 
https://t.co/BkpGPWQlOJ
 
#CharlotteHornets #EasternConference #LameloBall #LameloBallHighlights #LameloBallHornets #LameloBallInterview #Melo #NBA #SoutheastDivision https://t.co/4h0Kiz7b7u",['CharlotteHornets'],love.nba
29,Archana Vashisht,Malaysia,Dreamer. Serial thinker. Global citizen.,False,2022-10-10 04:13:38+00:00,"Experiencing an NBA match live has been a dream and today, that dream seeped into reality. Thank you for this buzzing opportunity @HornetsPR. 🐝 

Swipe left to see the signed souvenir I caught from @PJWashington.🏀 

#charlottehornets #theamericandream #hornetts https://t.co/IW60qCq244",,Twitter for iPhone
30,Love NBA,,NAB Fanbase,False,2022-10-10 03:10:02+00:00,"Charlotte #Hornets head coach and ...
 
https://t.co/YIOQuPLk5X
 
#20222023NBASeason #BostonCeltic #Celtic #CelticVsHornets #CharlotteHornets #CharlotteHornetsVsBostonCeltic #EasternConference #HornetsVsBoston #NationalBasketballAssociation #NBA #Nba2022 #NBA2022Season https://t.co/nOTqlL4wed","['Hornets', '20222023NBASeason', 'BostonCeltic', 'Celtic']",love.nba
31,Love NBA,,NAB Fanbase,False,2022-10-09 23:37:03+00:00,"CHARLOTTE #Hornets BEGIN HEAD COACH INTERVIEWS
 
https://t.co/eoaAqiPZyy
 
#CharlotteHornets #CharlotteNba #EasternConference #FanReaction #HornetsFan #HornetsFans #LameloBall #NBA #NbaFan #NbaFanChannel #SoutheastDivision https://t.co/U6k3kXy01s","['Hornets', 'CharlotteHornets', 'CharlotteNba']",love.nba
32,Love NBA,,NAB Fanbase,False,2022-10-09 21:34:02+00:00,"Would a trade for John Collins work for the ...
 
https://t.co/0UnwF6pxWH
 
#CharlotteHornets #CharlotteHornetsDepthChart #CharlotteHornetsDraft #CharlotteHornetsNews #CharlotteHornetsSchedule #EasternConference #HornetsDepthChart #HornetsDraft #HornetsGame #HornetsGameRecap https://t.co/rESWdfMFF0",['CharlotteHornets'],love.nba
33,HabsHYPE,"Montreal, Qc","Artist @ fine Art America. Frames, Prints,📲Cases, Puzzles, Towels, Pillows and more!",False,2022-10-09 21:00:00+00:00,"Shop #AllFly Frames, Puzzles, Prints, Phones Cases, Towels and more @ &gt;&gt; https://https://t.co/6IXvjqioVm &lt;&lt; #Charlotte #Hornets #CharlotteNC #CharlotteHornets #NBA #basketball #NBAAllStar #NBA2K22 #NBATwitter #NBAonTNT #NBA75",['AllFly'],Twitter Web App
34,NuMediaNetwork,,A Social Network Of Creators Dedicated To Putting Out The Truth For The People By The People,False,2022-10-09 16:52:46+00:00,Click the Link to join the stream‼️We're in the Lit House 🔥🏠 #CharlotteHornets #Hornets #LaMeloBall #LiAngeloBall #NBA https://t.co/ymxRmQAXHi,"['CharlotteHornets', 'Hornets', 'LaMeloBall', 'LiAngeloBall']",Twitter for iPhone
35,Love NBA,,NAB Fanbase,False,2022-10-09 06:45:02+00:00,"#Liangelo BALL GOT BENCHED THEN DID ...
 
https://t.co/qdXo6cFeaL
 
#BallBrothers #BallFacts #BallFamily #CharlotteHornets #CharlotteHornetsVsBostonCeltics #Dkm #EasternConference #GeloBall #Hornets #Lamelo #LameloBall #LameloBallHighlights #LameloBallVsBostonCeltics #Lavar https://t.co/1QBILcELCR","['Liangelo', 'BallBrothers', 'BallFacts', 'BallFamily']",love.nba
36,TalkBasket,Basketball World,"EuroLeague and FIBA media partner, all latest news from the NBA and the world of basketball. Get in touch at info@talkbasket.net",False,2022-10-09 04:33:55+00:00,Kemba Walker still optimistic to gain playing opportunity #CharlotteHornets #DetroitPistons #KembaWalker https://t.co/A5q8zzAbx3,"['CharlotteHornets', 'DetroitPistons', 'KembaWalker']",TalkBasket
37,Shawn Nottingham,,NC 📍Instagram • TikTok- Nottybynature11 😎 Bull City 919 🤞🏾 Go Subscribe To My YouTube❗️,False,2022-10-09 01:03:12+00:00,After seeing @MELOD1P break dance in them @PUMAHoops man I’m scared now 🤣 @hornets #nba #charlottehornets #LameloBall https://t.co/kMb622UJH3,"['nba', 'charlottehornets']",Twitter for iPhone
38,BasketballPlug❗❗❗,Florida,"Im the plug for cheap basketball equipment !!!

Basketball Shoes 
Gyms Nearby 
Basketballs to buy",False,2022-10-09 00:14:16+00:00,"Cheap Lamelo ""Rick and Morty"" ❗️❗️❗️

Only $199.99

https://t.co/E47HlXrkZR

#lamelo #nba #lameloball #basketball #lonzoball #melo #liangeloball #lebronjames #zo #lakers #lonzo #meloball #charlottehornets #bigballerbrand #gelo #explorepage #hornets #bball #lavarball #ballislife","['lamelo', 'nba', 'lameloball', 'basketball']",Twitter Web App
39,Love NBA,,NAB Fanbase,False,2022-10-08 19:57:02+00:00,"Boston Celtics vs Charlotte Hornets POSTGAME BREAKDOWN! Bench Unit Defeats Hornets! Blake DEBUT!
 
https://t.co/pah4xLfLsw
 
#CharlotteHornets #EasternConference #SoutheastDivision https://t.co/ik8k5J6OEi",,love.nba
40,Raw Chili,,,False,2022-10-08 18:38:04+00:00,"Post Game Thread: The Boston Celtics defeat The #Charlotte #Hornets 112-103 
 
https://t.co/ewioBWpplO
 
#Basketball #CharlotteHornets #NationalBasketballAssociation #NBA #NBAEasternConference #NBAEasternConferenceSoutheastDivision #NorthCarolina https://t.co/0tO0PHueLU","['Charlotte', 'Hornets']",raw-chili
