,Unnamed: 0,user_name,user_location,user_description,user_verified,date,text,hashtags,source
0,0,Spenser Freeman,,interviewer pour le Fernando Rock Show,False,2022-10-09 15:01:50+00:00,"Master of Classic Rock !
Robert Jon live in France (+weird itw)

https://t.co/e0GDykqbeF

#USA #Classicrock #Celtics #utahjazz  #warriorsnation #Heat #LakersNation #Clippers #OKC #Nuggets #Knicks #Nets #pistons #BullsNation #Sixers #Rams #Giants #Pacers #SpursFamily","['USA', 'Classicrock']",Twitter Web App
1,1,Camran,Tehran,گرگ دهن آلوده یوسف ندریده..,False,2022-10-09 09:27:21+00:00,"#John_Stockton played 16 82-game seasons without missing a single game, the most since the 82-game format has been in place (1967-68).

#NBA 
#basketball 
#utahjazz",['John_Stockton'],Twitter Web App
2,2,Love NBA,,NAB Fanbase,False,2022-10-09 06:06:03+00:00,"Quin Snyder, Ryan Smith, Danny Ainge Press Conference | UTAH JAZZ
 
https://t.co/VIYclclwDr
 
#DannyAinge #NorthwestDivision #QuinSnyder #RyanSmith #UtahJazz #UtahJazzInterview #UtahJazzPressConference #WesternConference https://t.co/8Lt4NAiCsu",['DannyAinge'],love.nba
3,3,Love NBA,,NAB Fanbase,False,2022-10-09 04:12:02+00:00,"SIXX LOVES UTAH AND UTAH LOVES SIXX ☮️🖤 #jordanclarkson ##UtahJazz
 
https://t.co/tZhHYPQpvd
 
#NorthwestDivision #WesternConference https://t.co/ChBqoPT4J7","['jordanclarkson', 'UtahJazz', 'NorthwestDivision']",love.nba
4,4,Still following,,"Older than I look.  Advocate for truth, reason, and justice.  Blocking me says more about you. #NiceTry",False,2022-10-09 01:23:01+00:00,@tiffanee_dawn At least the #UtahJazz won their scrimmage smh,['UtahJazz'],Twitter Web App
5,5,Raw Chili,,,False,2022-10-09 00:33:05+00:00,"Starting scrimmage lineups (insight into potential cuts?) 
 
https://t.co/iyG70dmSLK
 
#Basketball #Jazz #NationalBasketballAssociation #NBA #NBAWesternConference #NBAWesternConferenceNorthwestDivision #SaltLakeCity #Utah #UtahJazz https://t.co/8kjdtntrvz","['Basketball', 'Jazz']",raw-chili
6,6,Love NBA,,NAB Fanbase,False,2022-10-09 00:25:02+00:00,"Starting scrimmage lineups (insight into potential cuts?)
 
https://t.co/axXXAHHb9G
 
#NorthwestDivision #UtahJazz #WesternConference https://t.co/bocCsH4uA1","['NorthwestDivision', 'UtahJazz']",love.nba
7,7,Jazzketball,"Utah, USA",Utah Jazz Fan Sourced Podcast. Share your thoughts on Live Twitter Spaces. Made for Die-hards by Die-heads. Listen now on all major podcast platforms,False,2022-10-09 00:01:10+00:00,Thank you for recording this at the perfect time for @SabenLee #utahjazz https://t.co/N1hstZpVRC,['utahjazz'],Twitter for iPhone
8,8,Jazzketball,"Utah, USA",Utah Jazz Fan Sourced Podcast. Share your thoughts on Live Twitter Spaces. Made for Die-hards by Die-heads. Listen now on all major podcast platforms,False,2022-10-09 00:00:05+00:00,@SabenLee You balled out today!!! The reverse yammm was 🔥 #utahjazz #jazzketball,"['utahjazz', 'jazzketball']",Twitter for iPhone
9,9,Fatima Nawabi,Salt Lake City Utah,Professional photographer Sports Photographer Canon90D | Canon EF 70-200mm | iPhone 12 Pro Max,False,2022-10-08 23:47:13+00:00,"Jazz Open Scrimmage!! 🏀🖤💛

#JazzNation #UtahJazz 
#TakeNote #GoJazz #NBA https://t.co/QdwDnblAYP","['JazzNation', 'UtahJazz', 'TakeNote', 'GoJazz', 'NBA']",Twitter for iPhone
10,10,GotdemCards,your local card shop,"I have thousands of cards & I'm selling some to get some more. show me those cards
MJ Kobe & Trout is what it's really all about. Posting cards everyday",False,2022-10-08 21:41:28+00:00,"#utahjazz 7 Card Lot #Jazz

$3 OBO 

#Basketball #thehobby
#basketballcards #NBA #thehobby @HobbyRetweet_
#sportscards #sportscardsforsale
@JakeMc945
 @ILOVECOLLECTIN1 @MDRANSOM1 @sports_sell @CardboardEchoes @timscards1 https://t.co/JBhlffqSpR","['utahjazz', 'Jazz', 'Basketball', 'thehobby', 'basketballcards', 'NBA', 'thehobby']",Twitter for Android
11,11,Still following,,"Older than I look.  Advocate for truth, reason, and justice.  Blocking me says more about you. #NiceTry",False,2022-10-08 21:33:13+00:00,"@BensHoops Nice new #UtahJazz court

It'd look good 40 games a year on Wembanyama

@hansenjames",['UtahJazz'],Twitter Web App
12,12,Still following,,"Older than I look.  Advocate for truth, reason, and justice.  Blocking me says more about you. #NiceTry",False,2022-10-08 20:32:32+00:00,"@THE_Mr_Nimbus @andyblarsen I didn't think that the #utahjazz advertised this too well

Where's my app alert?",['utahjazz'],Twitter Web App
13,13,EASTCOASTHOOPRECRUIT,East Coast,"Respect the Game @shopecrecruit1🛒 #CantforgerttheEastCoast #EastCoastLetsGo #Eastcoasthooprecruit All Inclusive Basketball Coverage Highschool, College and NBA",False,2022-10-08 18:57:54+00:00,"@caneshoops Back at it with the squad 🙌🔥🔥

#nbalottery #dariusgarland #nbaontnt #nbadraft #kyrie #lalakers #underaurmor #kingjames #utahjazz #blazers #dame4 #nikebasketball #lebronlakers #portlandtrailblazers #nike #miamiheat #kuhoops #traeyoung https://t.co/CC5AjNIRnm","['nbalottery', 'dariusgarland', 'nbaontnt', 'nbadraft', 'kyrie', 'lalakers']",Twitter for iPhone
14,14,JazzNation,"Salt Lake City, UT","Tweets are all about Utah Jazz news, scores, & updates | Fan ran account | All our links can be found in one spot ➡️ https://t.co/Lmt6CjXroU",False,2022-10-08 18:51:21+00:00,"If you missed todays Jazz scrimmage
you can rewatch it on YouTube

🎥 https://t.co/H7TDCSNQNp

.
#JazzNation #UtahJazz #TakeNote
#GoJazz #NBA","['JazzNation', 'UtahJazz', 'TakeNote', 'GoJazz', 'NBA']",Twitter for iPhone
15,15,JazzNation,"Salt Lake City, UT","Tweets are all about Utah Jazz news, scores, & updates | Fan ran account | All our links can be found in one spot ➡️ https://t.co/Lmt6CjXroU",False,2022-10-08 18:40:09+00:00,"Poor rookies had to sing baby shark 🦈 

😆😆😆

@WalkerKessler13 @youngoch 
@simofonte13 @JohnnyJuzang 

.
#JazzNation #UtahJazz #TakeNote https://t.co/SSwVQSiCfi",['JazzNation'],Twitter for iPhone
16,16,Raw Chili,,,False,2022-10-08 17:58:02+00:00,"Us vs Spurs fans at the moment. 
 
https://t.co/0IdiYIenK3
 
#Basketball #Jazz #NationalBasketballAssociation #NBA #NBAWesternConference #NBAWesternConferenceNorthwestDivision #SaltLakeCity #Utah #UtahJazz https://t.co/aXudOdoLJA","['Basketball', 'Jazz', 'NationalBasketballAssociation', 'NBA']",raw-chili
17,17,Jazzketball,"Utah, USA",Utah Jazz Fan Sourced Podcast. Share your thoughts on Live Twitter Spaces. Made for Die-hards by Die-heads. Listen now on all major podcast platforms,False,2022-10-08 17:53:14+00:00,"Saben Lee just threw down an oop from THT, then moments later yammed all over @BolmaroLeandro #utahjazz #jazzketball","['utahjazz', 'jazzketball']",Twitter for iPhone
18,18,Jazzketball,"Utah, USA",Utah Jazz Fan Sourced Podcast. Share your thoughts on Live Twitter Spaces. Made for Die-hards by Die-heads. Listen now on all major podcast platforms,False,2022-10-08 17:37:57+00:00,Someone just shouted “Play some D this is ridiculous” at the Jazz open Scrimmage. 🤣😂🤣 #utahjazz,['utahjazz'],Twitter for iPhone
19,19,Kyle Nish,North of Cygnus ,"Patty's Husband ❤️ I Sell Custom Decals/T-Shirts/Mugs & Tumblers. Rush Fan, #RIPNeilPeart #TheFlowerKings #UtahJazz #Drummer / #HugYourFamilyEveryChanceYouGet",False,2022-10-08 17:33:53+00:00,Why does the Jazz internet stream keep stopping???  #utahjazz @utahjazz #takenote @DLocke09 @bigTbailey @RyanQualtrics,"['utahjazz', 'takenote']",Twitter for iPhone
20,20,JazzNation,"Salt Lake City, UT","Tweets are all about Utah Jazz news, scores, & updates | Fan ran account | All our links can be found in one spot ➡️ https://t.co/Lmt6CjXroU",False,2022-10-08 17:20:54+00:00,"Player intro’s 

#JazzNation #UtahJazz #TakeNote https://t.co/6YrjiqyKMm","['JazzNation', 'UtahJazz', 'TakeNote']",Twitter for iPhone
21,21,JazzNation,"Salt Lake City, UT","Tweets are all about Utah Jazz news, scores, & updates | Fan ran account | All our links can be found in one spot ➡️ https://t.co/Lmt6CjXroU",False,2022-10-08 16:58:12+00:00,"Coach Hardy &amp; @RyanQualtrics 

.
#JazzNation #UtahJazz #TakeNote https://t.co/lCkp5fpAY8","['JazzNation', 'UtahJazz', 'TakeNote']",Twitter for iPhone
22,22,Kyle Nish,North of Cygnus ,"Patty's Husband ❤️ I Sell Custom Decals/T-Shirts/Mugs & Tumblers. Rush Fan, #RIPNeilPeart #TheFlowerKings #UtahJazz #Drummer / #HugYourFamilyEveryChanceYouGet",False,2022-10-08 16:54:06+00:00,Lets Go Jazz!! #takenote #utahjazz #GoJazz https://t.co/NHVLmiCAqJ,"['takenote', 'utahjazz', 'GoJazz']",Twitter for iPhone
23,23,JazzNation,"Salt Lake City, UT","Tweets are all about Utah Jazz news, scores, & updates | Fan ran account | All our links can be found in one spot ➡️ https://t.co/Lmt6CjXroU",False,2022-10-08 16:38:12+00:00,"The new court
Looks nice in person 🔥

#JazzNation #UtahJazz #TakeNote
#GoJazz #NBA https://t.co/Ymzo1bdfp2","['JazzNation', 'UtahJazz', 'TakeNote', 'GoJazz', 'NBA']",Twitter for iPhone
24,24,JazzNation,"Salt Lake City, UT","Tweets are all about Utah Jazz news, scores, & updates | Fan ran account | All our links can be found in one spot ➡️ https://t.co/Lmt6CjXroU",False,2022-10-08 16:28:12+00:00,"Anyone else here???

.
#JazzNation #UtahJazz #TakeNote https://t.co/INUs0FlGdU","['JazzNation', 'UtahJazz', 'TakeNote']",Twitter for iPhone
25,25,Still following,,"Older than I look.  Advocate for truth, reason, and justice.  Blocking me says more about you. #NiceTry",False,2022-10-08 16:09:14+00:00,"You livestreaming the scrimmage at 11am, bro?
@hansenjames 
#UtahJazz 
https://t.co/V4Msz10543",['UtahJazz'],Twitter Web App
