,user_name,user_location,user_description,user_verified,date,text,hashtags,source
0,Orlando Magic HQ,"Orlando, FL",Orlando Magic news & updates. New episodes of The OZone Podcast drop every week. Part of the @hoopspodnet. Co-hosts: @OMagicHQ & @therealag22. #MagicTogether,False,2022-10-11 13:29:53+00:00,"Paolo Banchero will play his first game at Amway Center tonight as the Magic host the Memphis Grizzlies, who beat the Magic pretty badly in their first game of preseason.  

You can watch tonight’s game on Bally Sports Florida. 

#MagicTogether #OrlandoMagic #NBA https://t.co/Wu5hiowPI1",,Twitter for iPhone
1,FantasyMagic,"Orlando, FL","Orlando Magic Fan | Software Engineer | Day Trader | #MagicTogether 💫 | Nostradamus of #NBATwitter 🔮 | #GoBucs
| #Motivation | #FantasyMagicMedia",False,2022-10-11 00:12:53+00:00,"I'm thinking we should slow down on the Bol Hype. It's putting the kid under a lot of pressure that maybe he isn't ready for.

#OrlandoMagic #MagicTogether  #WeGotAlotPopping #MagicSzn2022
WE💥G O T💥ALOT💥P O P P I N G",,Twitter for Android
2,Love NBA,,NAB Fanbase,False,2022-10-10 23:39:02+00:00,"MY HONEST THOUGHTS ON THE #Orlando ...
 
https://t.co/oskXyUABaD
 
#BolBol #EasternConference #Fultz #JamahlMosley #Markelle #MarkelleFultz #NBA #NbaPreseason #OrlandoMagic #OrlandoMagicNews #OrlandoMagicPreseason #OrlandoMagicRumors #OrlandoMagicVsDallasMavericks https://t.co/RvmfOtXzQ1","['Orlando', 'BolBol', 'EasternConference', 'Fultz', 'JamahlMosley']",love.nba
3,MyNextSeat,"Florida, USA",MyNextSeat is part of the WebPass Social Network a social media marketing agency,False,2022-10-10 23:21:41+00:00,"#NBA #PhoenixSuns #OrlandoMagic #NewOrleansPelicans Shaquille O'Neal says he wants to buy an NBA team, but not the Suns https://t.co/LQ3vNkIJug","['NBA', 'PhoenixSuns', 'OrlandoMagic', 'NewOrleansPelicans']",dlvr.it
4,Love NBA,,NAB Fanbase,False,2022-10-10 21:51:02+00:00,"PRACTICE SOUND: COACH MOSE &amp; JALEN SUGGS ON HIS INJURY
 
https://t.co/OVt6LB2hI9
 
#Basketball #ColeAnthony #EasternConference #Florida #FranzWagner #JalenSuggs #JamahlMosley #Magic #MoBamba #NBA #Orlando #OrlandoMagic #SoutheastDivision #WendellCarterJr https://t.co/Qsr9KvhCxr","['Basketball', 'ColeAnthony']",love.nba
5,FieldLevelMedia,"Seattle, WA","Field Level Media features breaking news & coverage of 7,000+ annual events from a network of more than 200 professional journalists across North America.",False,2022-10-10 21:04:21+00:00,"Orlando, FL – The Orlando Magic have signed free agent guard Drake Jeffries. Jeffries (6’5”, 185, 1/22/99) played and started in 17 games last season with the University of Wyoming, averaging 11.4 ppg. and 4.8 rpg. in 33.4 minpg. #OrlandoMagic #DrakeJeffries #NBA",,Twitter Web App
6,Love NBA,,NAB Fanbase,False,2022-10-10 20:23:02+00:00,"Went to see Magic legend Josh Magette in the Australian NBL
 
https://t.co/Wv2L6cT9CE
 
#EasternConference #OrlandoMagic #SoutheastDivision https://t.co/5AgApllcyf",['EasternConference'],love.nba
7,4 The Collection,,"Seller of things people love
IG: @4the_collection",False,2022-10-10 20:01:13+00:00,"if you need them!
Social Status x Nike Air Penny 2 Size 9
DM9132-001 Confirmed Order
https://t.co/HAcHfN896s
#socialstatus #nikeairpenny2 #nikeairpenny #airpenny #airpenny2 #pennyhardaway #penny #hardawy #orlandomagic #magic #sneakers #nike #snkrs #sneakerhead #shoes #jordan",,Twitter for Android
8,Josh Marshall,"Naugatuck, CT",,False,2022-10-10 17:17:16+00:00,"Just moved to the Orlando area, so the @OrlandoMagic make sense.  @AaronRodgers12 is a minority owner of the @Bucks so they would make sense. Thoughts?
#BucksCounty #OrlandoMagic #NBA",,Twitter for Android
9,Scoob 🪄,,NBA Fan | Orlando Magic | Stats Guy | Licensed Idiot | TS: scoobwithvibes | YouTube: scoobwithvibes,False,2022-10-10 17:12:04+00:00,"TWITTER TEAM ROLL CALL:

Orlando Magic fans stand up🧍‍♂️‼️

#OrlandoMagic #NBA #NBAPreseason https://t.co/ON6i4K4Ukm","['OrlandoMagic', 'NBA', 'NBAPreseason']",Twitter for iPhone
