,user_name,user_location,user_description,user_verified,date,text,hashtags,source
0,TJP,,"Beginner level content creator.
https://t.co/kHnSQkcrAl
https://t.co/ONRjBprCSM
https://t.co/tLWz0m1JAw
https://t.co/LGBLeKDyER",False,2022-10-11 14:51:19+00:00,REBUILDING THE BROOKLYN NETS! (NBA 2K23 MyNBA) https://t.co/DTCjiMNpq1 via @YouTube #NBA #NBA2K23 #basketball #sports #gaming #YouTuber #BrooklynNets,"['NBA', 'NBA2K23', 'basketball']",Twitter Web App
1,TruthToldTV,,Just another media outlet for the culture. Follow for great highlights and cultural updates(DM if I didn’t credit you) @me and follow me to receive saved videos,False,2022-10-11 14:45:20+00:00,Ben Simmons with the shot boii. #bensimmons #nets #brooklyn #brooklynnets https://t.co/Kym6zD2Ok8,"['bensimmons', 'nets', 'brooklyn', 'brooklynnets']",Twitter for iPhone
2,Love NBA,,NAB Fanbase,False,2022-10-11 14:27:02+00:00,"Kyrie Irving is turning championship-minded Nets into total dysfunction!
 
https://t.co/f8Hms7QE3H
 
#AtlanticDivision #BrooklynNets #EasternConference https://t.co/ctZUxalX5p",,love.nba
3,Empty the Bench,New York,"Podcast by @etbnetwork. Sports show hosted by @thomasjalbano, @NickWritesWords & @nmorgasenradio. Wednesdays at 3 pm ET  🏈 🏀 ⚾️ 🏒 🥊",False,2022-10-11 14:26:39+00:00,"What injury will @BenSimmons25 claim he has???

He should claim an injured ego

#NBA #BrooklynNets #Nets 
 https://t.co/Adv7eAqk4z","['NBA', 'BrooklynNets', 'Nets']",Twitter for iPhone
4,Norman Oder,"Brooklyn, NY","Watchdog journalist, writes Atlantic Yards/Pacific Park Report, about controversial #Brooklyn real estate project #AtlanticYards #pacificparkbk #BarclaysCenter",True,2022-10-11 13:40:04+00:00,"Over ten years, the #BrooklynNets have not reached their potential, gaining the second round of the playoffs only twice.
https://t.co/uwXBHYKYOW",['BrooklynNets'],Twitter Web App
5,Barrendero,,Mi trabajo no está pagado,False,2022-10-11 13:32:37+00:00,No Way Simmons did that #BrooklynNets https://t.co/99nPkzuz8T,['BrooklynNets'],Twitter for Android
6,Love NBA,,NAB Fanbase,False,2022-10-11 12:58:03+00:00,"Philadelphia 76ers vs. Cleveland Cavaliers ...
 
https://t.co/9jwmZ9h31l
 
#AndrewWiggins #AnthonyDavis #AtlanticDivision #BenSimmons #BrooklynNets #CarmeloAnthony #ChrisPaul #DamianLillard #DevinBooker #DraymondGreen #DwightHoward #EasternConference #GIANNISANTETOKOUNMPO https://t.co/PYlGrTppuL","['AndrewWiggins', 'AnthonyDavis']",love.nba
7,Johnny Rodz,United States,"1996 WWE Hall of Famer and owner of WUW-World of Unpredictable Club of Pro Wrestling, Gleason's Gym! @RodzJohnny #ShopWUW https://t.co/wIgu6lrlrN",False,2022-10-11 12:53:26+00:00,One Man Tribe in #brooklyn  #wwe #RAW #barclayscenter #wuw #johnyrodz #wwe #DeGenerationX #WWERaw #geronimo #gleasonsgym #brooklynnets #newyork @GleasonsGym @rodzjohnny @juanjeremy100 @WWE @WWENXT  @geronimogomez_ @barclayscenter  @BrooklynNets https://t.co/vnkVgtbaYK,"['brooklyn', 'wwe', 'RAW', 'barclayscenter', 'wuw', 'johnyrodz', 'wwe', 'DeGenerationX', 'WWERaw', 'geronimo']",Twitter for iPhone
8,Love NBA,,NAB Fanbase,False,2022-10-11 12:23:03+00:00,"Golden State Warriors vs. Los ...
 
https://t.co/al9zRAZlon
 
#AndrewWiggins #AnthonyDavis #BenSimmons #BrooklynNets #CarmeloAnthony #ChrisPaul #DamianLillard #DevinBooker #DraymondGreen #DwightHoward #GIANNISANTETOKOUNMPO #GoldenStateWarriors #JamesHarden #JoelEmbiid https://t.co/Nbn7JiKqfK","['AndrewWiggins', 'AnthonyDavis', 'BenSimmons']",love.nba
9,Love NBA,,NAB Fanbase,False,2022-10-11 11:54:02+00:00,"Brooklyn Nets Training Camp 🏀
 
https://t.co/hABLznnbGr
 
#AtlanticDivision #BrooklynNets #EasternConference https://t.co/uCKiWY28s8","['AtlanticDivision', 'BrooklynNets', 'EasternConference']",love.nba
