,Unnamed: 0,user_name,user_location,user_description,user_verified,date,text,hashtags,source
0,0,Sportskeeda Basketball,"Banglore, India",Sportskeeda - For the hardcore sports fan. The leading website for the best content on NBA and the game of basketball. A part of @sportskeeda.,True,2022-10-08 20:11:37+00:00,"NBA GMs have picked these players as best at their respective positions! 🏀🔝

Are they your top players?

#stephencurry #devinbooker #kevindurant #giannis #nikolajokic https://t.co/6LZFMdnYSZ",,Twitter for Android
1,1,Bigg Papi,"Toronto, Ontario","NBA ‘19 Champion, Realionaire, Entrepreneur, Crypto/NFT Enthusiast, Investor, Marketer, Brand Ambassador, Director, Opportunist, Hit The DM's for inquiry",False,2022-10-08 01:26:43+00:00,Bring back soviet team for Olympics @luka7doncic #NikolaJokic,['NikolaJokic'],Twitter Web App
2,2,John Sapochetti,,Basketball Columnist & Co-Host Of “The PICK & ROLL #NBA PODCAST With JET & SAP”. @FullPressRadio @FullPressNBA @FP_Coverage https://t.co/9ALr1MnbJU,True,2022-10-07 18:51:36+00:00,"In (5) Years The Discussion As To Who Is The Best Player In The #NBA Could Come Down To:
#GiannisAntetokounmpo
Greece)
#LukaDoncic (Slovenia)
#NikolaJokic (Serbia)
#VictorWembanyama (France) Or 
#JoelEmbiid (Cameroon) 
#NBA #NBAPreseason","['NBA', 'GiannisAntetokounmpo']",Twitter for iPhone
3,3,Sportskeeda Basketball,"Banglore, India",Sportskeeda - For the hardcore sports fan. The leading website for the best content on NBA and the game of basketball. A part of @sportskeeda.,True,2022-10-07 05:36:23+00:00,"Zach Lowe believes Nikola Jokic will not win MVP this season! 👀

Thoughts on this take? 

#nikolajokic #denvernuggets #nba #mvp https://t.co/fsdCyPEKru",['nikolajokic'],Twitter for Android
4,4,Sportskeeda Basketball,"Banglore, India",Sportskeeda - For the hardcore sports fan. The leading website for the best content on NBA and the game of basketball. A part of @sportskeeda.,True,2022-10-06 16:18:52+00:00,"These players GOT THE BAG during 2022 offseason! 💰

How will you rate these signings - Overpaid? Underpaid? Or just right?

#nikolajokic #devinbooker #bradleybeal #karlanthonytowns #zachlavine #jamorant #zionwilliamson #dariusgarland #damianlillard #jalenbrunson https://t.co/pi8slYLGDN",,Twitter for Android
5,5,Fadeaway World,,"https://t.co/pxJFnl3Ykb provides the top news, rumors, highlights, throwbacks and articles for the best fans in the world.",False,2022-10-06 13:30:00+00:00,"Most rebounds over the last three seasons:

Rudy Gobert: 2,844
Nikola Jokic: 2,510
Jonas Valanciunas: 2,407

#NBA #RudyGobert #NikolaJokic #JonasValanciunas https://t.co/YgCcwUuo0m",['NBA'],Twitter Web App
6,6,The Sports Page Blog,"Chicago, IL","I write about random sports topics we all argue about using 1 part knowledge & multiple parts sarcasm.

A Blog About Random Sports Topics
https://t.co/BWawRjFOtc",False,2022-10-05 21:29:24+00:00,"3 of the 5 on the All-NBA First-Team were born outside of the US. Here's my list of the top foreign NBA Players ever. #1 might surprise you. https://t.co/waetDwpdL0
#sportsblog #NBA #FIBA #basketball #MVP #GreekFreak #LukaDoncic #NikolaJokic #TheDream #DirkNowitzki  #greatest https://t.co/yockVdV8Mp",,Twitter Web App
7,7,𝔑𝔞𝔰𝔥,"Toronto, Canada",A HOT take machine 🥵,False,2022-10-05 15:47:42+00:00,"Why can’t Joker win a 3rd MVP? 

#DenverNuggets 
#NikolaJokic
#NBA","['DenverNuggets', 'NikolaJokic', 'NBA']",Twitter for iPhone
8,8,Love NBA,,NAB Fanbase,False,2022-10-05 11:05:02+00:00,"With Jamal Murray healthy, what is the ...
 
https://t.co/C7n0Y5uc04
 
#AARONGORDON #Basketball #DenverNuggets #ESPN #ESPNNBA #ESPNNBAToday #Highlights #JalenRose #JamalMurray #Jokic #MalikaAndrews #Nba2022 #NbaEspn #NbaHighlightsToday #NBAOnESPN #NBAToday #NikolaJokic https://t.co/JLscnLw4OX","['AARONGORDON', 'Basketball', 'DenverNuggets']",love.nba
9,9,Just 3🏀 💫,The Rotten Apple,"Content Researcher 🔎 - Sports, Politics, Art, Music, Culture, Business, Social & Media Connoisseur.  #BeyondBlackHistoryMonth
 #MoreThan  
#RepBX #DubNation",False,2022-10-04 19:51:47+00:00,NBA GMs vote #NikolaJokic as best center in the league over #JoelEmbiid. #NBATwitter #NBAGMSurvey https://t.co/DMlKBvv2qZ,"['NikolaJokic', 'JoelEmbiid', 'NBATwitter', 'NBAGMSurvey']",Twitter for Android
10,10,TalkBasket,Basketball World,"EuroLeague and FIBA media partner, all latest news from the NBA and the world of basketball. Get in touch at info@talkbasket.net",False,2022-10-04 14:50:37+00:00,"Nikola Jokic voted best center, passer by NBA general managers #NikolaJokic https://t.co/mS3key4stN",['NikolaJokic'],TalkBasket
