,user_name,user_location,user_description,user_verified,date,text,hashtags,source
0,Kevin Sousa,Toronto,"Father of 2, husband to one! Teacher and sports photographer. @kevinsousaphoto instagram",False,2022-10-11 15:28:44+00:00,Pre-Season @NBA 📸 @usatodaysports @Raptors vs @chicagobulls #nba #torontoraptors #ChicagoBulls https://t.co/W41B1WfLFj,"['nba', 'torontoraptors', 'ChicagoBulls']",Twitter for iPhone
1,Love NBA,,NAB Fanbase,False,2022-10-11 15:02:02+00:00,"Jayson Tatum Said THIS About The #Raptors...
 
https://t.co/srWzpvAgPC
 
#AtlanticDivision #BullsVsRaptors #ChicagoBullsVsTorontoRaptors #EasternConference #RaptorsHighlights #RaptorsNation #RaptorsNews #RaptorsVsRockets #Toronto #TorontoRaptors #TorontoRaptorsChampionship https://t.co/w9w6EKmAlw","['Raptors', 'AtlanticDivision', 'BullsVsRaptors']",love.nba
2,Love NBA,,NAB Fanbase,False,2022-10-11 14:04:03+00:00,"RAPTORS FAMILY: DALANO BANTON HAS SOLIDIFIED HIS SPOT..
 
https://t.co/hL2GdYBuqq
 
#AtlanticDivision #EasternConference #TorontoRaptors https://t.co/uF0ZlCMqWl",['AtlanticDivision'],love.nba
3,Raw Chili,,,False,2022-10-11 11:11:02+00:00,"GROAT Doing GROAT Things. Happy Canadian Thanksgiving 🇨🇦 
 
https://t.co/1R5ncjqH00
 
#Basketball #NationalBasketballAssociation #NBA #NBAEasternConference #NBAEasternConferenceAtlanticDivision #Ontario #Raptors #Toronto #TorontoRaptors https://t.co/GTtj9Grh9y",['Basketball'],raw-chili
4,Love NBA,,NAB Fanbase,False,2022-10-11 10:50:03+00:00,"Just wanna remind people preseason means nothing 💀
 
https://t.co/NTD088ubgL
 
#AtlanticDivision #EasternConference #TorontoRaptors https://t.co/WlAbpiCRBN","['AtlanticDivision', 'EasternConference']",love.nba
5,The GoodNews World Official,United Kingdom,"Spirit Embassy, The GoodNews Church Worldwide founded by @UebertAngel and @BeverlyUAngel (Prophet Uebert and BeBe Angel)",False,2022-10-11 09:53:44+00:00,"INTERNATIONAL PROPHECY FULFILLED 

The Chicago Bulls beats the Toronto Raptors, notice how Prophet Angel accurately prophesied the winner of the game and that the score will be over 102.

#uebertangel #nba #chicagobulls #bulls #raptors #torontoraptors #basketball #usa https://t.co/h2nY7SAszQ",,Twitter for iPhone
6,Uebert Angel,"London, England",DIPLOMAT | Year2022 WONDERS WITHOUT NUMBER | GODFATHER OF THE PROPHETIC MOVEMENT | PRESIDENT OF THE GOODNEWSWORLD | Wife: BeBe Angel |GLOBALCITIZEN,True,2022-10-11 09:52:48+00:00,"INTERNATIONAL PROPHECY FULFILLED 

The Chicago Bulls beats the Toronto Raptors, notice how Prophet Angel accurately prophesied the winner of the game and that the score will be over 102.

#uebertangel #nba #chicagobulls #bulls #raptors #torontoraptors #basketball #usa https://t.co/D5WaquHvnV",,Twitter for iPhone
7,Tawanda,"Sydney, New South Wales",Worshiper of the Most High God,False,2022-10-11 09:45:55+00:00,God is still saying something #chicago #usa #nba #raptors #major #chicagobulls #torontoraptors #USA https://t.co/ap6ADBN0eb,"['chicago', 'usa', 'nba', 'raptors', 'major', 'chicagobulls', 'torontoraptors', 'USA']",Twitter for iPhone
8,Love NBA,,NAB Fanbase,False,2022-10-11 06:37:02+00:00,"GROAT Doing GROAT Things. Happy Canadian Thanksgiving 🇨🇦
 
https://t.co/qvH1h9POQK
 
#AtlanticDivision #EasternConference #TorontoRaptors https://t.co/shJ4vU7PBg",['AtlanticDivision'],love.nba
9,Love NBA,,NAB Fanbase,False,2022-10-11 05:34:02+00:00,"Gary Trent Jr DROPS PJ Tucker…(#Toronto #Raptors)
 
https://t.co/MkYPkZu7Km
 
#AtlanticDivision #BullsVsRaptors #EasternConference #RaptorsHighlights #RaptorsNation #RaptorsNews #RaptorsToday #RaptorsVsBulls #RaptorsVsRockets #TorontoRaptors #TorontoRaptors2019 https://t.co/8v6lmq6DnV","['Toronto', 'Raptors', 'AtlanticDivision', 'BullsVsRaptors']",love.nba
10,Leaving For LA,Montreal,"Graphic Designer. Sports fanatic. Visit my shop: Posters, Prints, Frames, Phone cases, Puzzles, Pillows, Towels and more!",False,2022-10-11 05:32:00+00:00,"Shop #WeTheNorth frames, prints, posters, mugs, puzzles, phone cases and more @ &gt;&gt; https://t.co/PYO5pZhnm8… &lt;&lt; #NBA #NBA75 #NBATwitter #NBAPreseason #Toronto #TorontoRaptors #Raps #Raptors #RTZ #RaptorChallenge #scottiebarnes","['WeTheNorth', 'NBA']",Twitter Web App
11,Kadeem,,"follow me on socials:
- ig,tik tok, and YT:  kdeemo_
- sc: kxdeem01",False,2022-10-11 05:09:26+00:00,"https://t.co/EbkMsTnRke RAPTORS TRADES I CAN SEE HAPPENING ! @Raptors 

#NBA #torontoraptors #Raptors","['NBA', 'torontoraptors', 'Raptors']",Twitter Web App
12,Jamaal Al-Din,"Boise, ID",Jamaal Al-Din's Hoops 227 (227's™ YouTube Chili' NFL Spicy' NBA Mix) The World's #1 YouTube Sports TV Entertainment Blogger! https://t.co/SINCRaHaX5,False,2022-10-11 03:41:07+00:00,NBA Leader: 27.9 PPG Chicago Bulls @ #TorontoRaptors Preseason Preview! #DeMarDeRozan comes back to the #416 once again. https://t.co/W01G26v2BR https://t.co/DGOBYSTR9n,"['TorontoRaptors', 'DeMarDeRozan']",dlvr.it
13,HabsHYPE,"Montreal, Qc","Artist @ fine Art America. Frames, Prints,📲Cases, Puzzles, Towels, Pillows and more!",False,2022-10-11 03:00:02+00:00,"Shop #WeTheNorth frames, prints, posters, mugs, puzzles, phone cases and more @ &gt;&gt; https://t.co/A6hSkc6YWx&lt;&lt; #NBA #NBA75 #NBATwitter #NBAPreseason #Toronto #TorontoRaptors #Raps #Raptors #RTZ #RaptorChallenge","['WeTheNorth', 'NBA']",Twitter Web App
14,Leaving For LA,Montreal,"Graphic Designer. Sports fanatic. Visit my shop: Posters, Prints, Frames, Phone cases, Puzzles, Pillows, Towels and more!",False,2022-10-11 01:30:00+00:00,"Shop #WeTheNorth frames, prints, posters, mugs, puzzles, phone cases and more @ &gt;&gt; https://t.co/4VHCGNMh3U… &lt;&lt; #NBA #NBA75 #NBATwitter #NBAPreseason #Toronto #TorontoRaptors #Raps #Raptors #RTZ #RaptorChallenge","['WeTheNorth', 'NBA']",Twitter Web App
15,Gary Ess,,Toronto's most unspecial person #BillsMafia,False,2022-10-11 01:00:59+00:00,https://t.co/Itr6fwriuq I was on a podcast where we talked @Raptors basketball!! #Raptors #TorontoRaptors #basketball #podcast,"['Raptors', 'TorontoRaptors', 'basketball', 'podcast']",Twitter for Android
