,Unnamed: 0,user_name,user_location,user_description,user_verified,date,text,hashtags,source
0,0,Love NBA,,NAB Fanbase,False,2022-10-09 12:35:02+00:00,"MY THOUGHTS ON THE HOUSTON #Rockets ...
 
https://t.co/bOai9HvoJL
 
#AlperenSengun #HoustonRockets #HoustonRocketsNews #HoustonRocketsPre #HoustonRocketsRumors #HoustonRocketsVsTorontoRaptors #Htown #JabariSmithJr #JalenGreen #KevinPorterJr #KPJ #NBA #RocketsNews #Season https://t.co/NP8bP1oVu2","['Rockets', 'AlperenSengun', 'HoustonRockets']",love.nba
1,1,FirstSportz,New Delhi,FirstSportz is the First Stop for all sports fanatics like you and us | Get all the latest updates here,False,2022-10-09 11:37:07+00:00,“Girls dropping off panties at my parents house” Jeremy Lin reveals his craziest experience from ‘Linsanity’ era https://t.co/QddJFVRw7S #HoustonRockets #NBA,,dlvr.it
2,2,Love NBA,,NAB Fanbase,False,2022-10-09 10:48:02+00:00,"Should the Houston Rockets tank for Victor Wembanyama? Is he the real deal! #NBA talk!
 
https://t.co/RmhFLCjMi6
 
#France #GLeague #GLeagueIgnite #Hoops #HoustonRockets #NBADraft2023 #ScootHenderson #SouthwestDivision #VictorWembanyama #WesternConference https://t.co/3DnhljcPjf",['NBA'],love.nba
3,3,Best App,"Los Angeles, CA","⬇️ Download the #Best #App : https://t.co/XqjGm5wAoM
❤️ What's #Best Today ? 
💲 Discover, Share & Win the Best !",False,2022-10-09 09:19:23+00:00,"Share the #Best #sports content
Download the Best #app : https://t.co/29sgyGqVgy 
#houstonrockets #nba #nationalbasketballassociation #basketball #basketballhighlights #jamesharden #beard #houston #sports  https://t.co/FyhtVCm4ko https://t.co/kN9ueeuioO","['Best', 'sports', 'app', 'houstonrockets', 'nba']",THEDOTBEST
4,4,Best App,"Los Angeles, CA","⬇️ Download the #Best #App : https://t.co/XqjGm5wAoM
❤️ What's #Best Today ? 
💲 Discover, Share & Win the Best !",False,2022-10-09 09:19:22+00:00,"Share the #Best #sports content
Download the Best #app : https://t.co/29sgyGJ4uG 
#houstonrockets #nba #nationalbasketballassociation #basketball #basketballhighlights #jamesharden #beard #houston #sports  https://t.co/tRce6W1JDW https://t.co/bUjRY0h2Lh","['Best', 'sports', 'app', 'houstonrockets', 'nba']",THEDOTBEST
5,5,Best App,"Los Angeles, CA","⬇️ Download the #Best #App : https://t.co/XqjGm5wAoM
❤️ What's #Best Today ? 
💲 Discover, Share & Win the Best !",False,2022-10-09 09:19:21+00:00,"What's #Best on https://t.co/DVTf2juDRp ?
“my Boy Went Crazy” - Jalen Green : #shorts
https://t.co/iYFQWtPKio
#sports #houstonrockets #nba #nationalbasketballassociation #basketball #basketballhighlights #jamesharden #beard #houston https://t.co/VrjLsq3qvf","['Best', 'shorts']",THEDOTBEST
6,6,.Best Top-Level Domain,,"🌐 Register your .Best #Domain → https://t.co/8O1iGgbMLH
❤️ Download the Best #App → https://t.co/1ON2gEL3Nv
🛡️ Protect your #Brand → https://t.co/hYeU8VMWmj
📰 Join the #Best #Revue → https://t.co/tKDez2061r",False,2022-10-09 09:18:58+00:00,"Download the Best #app to share your #Best #sports content: https://t.co/3LwU9aPoXG 
#houstonrockets #nba #nationalbasketballassociation #basketball #basketballhighlights #jamesharden #beard #houston  https://t.co/1LkiG8OV8n https://t.co/Y4S0qBgDwb","['app', 'Best', 'sports', 'houstonrockets', 'nba']",BestTLDApp
7,7,.Best Top-Level Domain,,"🌐 Register your .Best #Domain → https://t.co/8O1iGgbMLH
❤️ Download the Best #App → https://t.co/1ON2gEL3Nv
🛡️ Protect your #Brand → https://t.co/hYeU8VMWmj
📰 Join the #Best #Revue → https://t.co/tKDez2061r",False,2022-10-09 09:18:57+00:00,"#Best of the day on https://t.co/MqmlMsmLkS
“my Boy Went Crazy” - Jalen Green : #shorts
https://t.co/ybdVOevzYV
#sports #houstonrockets #nba #nationalbasketballassociation #basketball #basketballhighlights #jamesharden #beard #houston","['Best', 'shorts']",BestTLDApp
8,8,CYRIL FREMONT,"Paris, France","✈️ #ceo .Best #Domains → https://t.co/BoJlg0gjSG
❤️ #creator Best #App → https://t.co/CGuTzGaZTY
📰 #curator Best #Revue → https://t.co/qOPWX45Vur
🌐 what's my #Best → https://t.co/dQ7I6WPjeF",False,2022-10-09 09:18:34+00:00,"What's #Best on https://t.co/VfZu3iZcPN ?
“my Boy Went Crazy” - Jalen Green : #shorts
https://t.co/GqykCoDQK2
#sports #houstonrockets #nba #nationalbasketballassociation #basketball #basketballhighlights #jamesharden #beard #houston","['Best', 'shorts']",BestTLD
9,9,Love NBA,,NAB Fanbase,False,2022-10-09 06:32:02+00:00,"October 8 - ""Let&amp;#39;s Talk Houston Rockets""; Rockets rout Raptors in preseason; Wemby
 
https://t.co/cxSdTN1WYa
 
#Basketball #HoustonRockets #NBA #SouthwestDivision #WesternConference https://t.co/J8LqsuKaAc",,love.nba
