,Unnamed: 0,user_name,user_location,user_description,user_verified,date,text,hashtags,source
0,0,"Ron Sen, MD",Massachusetts,"Physician, Hoop coach, former Navy CDR, pro-Justice, author, The Simple Guide to Girls' Basketball, https://t.co/BczjBMN1Sd",False,2022-10-09 12:19:53+00:00,#Coaching #GreggPopovich #DeanSmith Random thoughts on sport. #ChopWoodCarryWater https://t.co/zF2cFSs88k https://t.co/hsMXuSbUSg,"['Coaching', 'GreggPopovich', 'DeanSmith', 'ChopWoodCarryWater']",Twitter Web App
1,1,Love NBA,,NAB Fanbase,False,2022-10-09 02:32:03+00:00,"Vic Wembanyama or Scoot Henderson ...
 
https://t.co/7CGs5cFvvn
 
#3pointer #Argentina #Ballislife #Basketball #Bball #Cowboys #DakPrescott #Dallas #DallasCowboys #DejounteMurray #DerrickWhite #ESPN #Ginobili #GoSpursGo #GoldenState #GreggPopovich #Grizzlies #KeldonJohnson https://t.co/Vx5GmfDovJ","['3pointer', 'Argentina', 'Ballislife', 'Basketball']",love.nba
2,2,James Withers,"New York, New York","""Well, Beyonce is destroying the lives of black girls""",False,2022-10-08 17:56:24+00:00,Next time your uncle complains about #GreggPopovich's politics. https://t.co/j29X2mExO7,['GreggPopovich'],Twitter Web App
3,3,Love NBA,,NAB Fanbase,False,2022-10-08 03:56:02+00:00,"Adam Silver BEGS TEAMS NOT TO TANK!
 
https://t.co/iIUqIrDhSc
 
#3pointer #Argentina #Ballislife #Basketball #Bball #Cowboys #DakPrescott #Dallas #DallasCowboys #DejounteMurray #DerrickWhite #ESPN #Ginobili #GoSpursGo #GoldenState #GreggPopovich #Grizzlies #KeldonJohnson https://t.co/2RoKHtbzpZ","['3pointer', 'Argentina', 'Ballislife', 'Basketball', 'Bball']",love.nba
4,4,Love NBA,,NAB Fanbase,False,2022-10-07 14:14:03+00:00,"#Spurs PRESEASON GAME 2 TAKEAWAYS!
 
https://t.co/7FSAUt0wLt
 
#3pointer #Argentina #Ballislife #Basketball #Bball #Cowboys #DakPrescott #Dallas #DallasCowboys #DejounteMurray #DerrickWhite #ESPN #Ginobili #GoSpursGo #GoldenState #GreggPopovich #Grizzlies #KeldonJohnson https://t.co/UodZBsVoOL","['Spurs', '3pointer', 'Argentina', 'Ballislife', 'Basketball', 'Bball']",love.nba
5,5,Ron Bohning,"Fayetteville, AR",Auto fed #SportsNews & early morning #DayTrade ideas (not advice). #AlwaysLA #DallasCowboys #RipCity #GoAvsGo #GoBeavs🦫 #BuildTheDam🪵 #Razorbacks #WPS🐗,False,2022-10-04 23:47:05+00:00,"What's up with that weird, mysterious post by the San Antonio Spurs? https://t.co/VO7hlGWGJn #GreggPopovich #Nope https://t.co/5k330gEE2Y","['GreggPopovich', 'Nope']",dlvr.it
6,6,Love NBA,,NAB Fanbase,False,2022-10-03 16:55:03+00:00,"NBA Season Preview: San Antonio Spurs
 
https://t.co/MihoRDs1ms
 
#GreggPopovich #NbaNewsSpurs #NbaSeasonPreview #NbaSeasonPreviewSanAntonioSpurs #NbaSeasonPreviewSpurs #NbaSpurs #SanAntonioSpurs #SanAntonioSpursBasketball #SanAntonioSpursNbaSeasonPreview #SanAntonioSpursNews https://t.co/0u9WldHrX6","['GreggPopovich', 'NbaNewsSpurs', 'NbaSeasonPreview']",love.nba
7,7,Chuck,New York,"https://t.co/jzgKvzRfNP for daily trivia. https://t.co/yP2HdAjN8S for the Chuck app with live scores, custom sports news feed & real-time banter with your friends in one free app.",False,2022-10-02 15:21:36+00:00,"Chuckle Fact of the Day for 10/01: Gregg Popovich is one of just three three-time winners of the NBA's Coach of the Year Award, along with Don Nelson and Pat Riley.

More fun today &gt; https://t.co/7HD4T4lEgF

#PlayChuckle #NFL #nflredzone #nba #spurs #greggpopovich #coachpop https://t.co/v50rZyKNNu",,Twitter Web App
8,8,Love NBA,,NAB Fanbase,False,2022-10-01 19:31:02+00:00,"This #Spurs Team Has Me Worried...
 
https://t.co/73iqO64onV
 
#3pointer #Argentina #Ballislife #Basketball #Bball #Cowboys #DakPrescott #Dallas #DallasCowboys #DejounteMurray #DerrickWhite #ESPN #Ginobili #GoSpursGo #GoldenState #GreggPopovich #Grizzlies #KeldonJohnson https://t.co/V5fRwfPqB3","['Spurs', '3pointer', 'Argentina', 'Ballislife', 'Basketball', 'Bball']",love.nba
9,9,"Ron Sen, MD",Massachusetts,"Physician, Hoop coach, former Navy CDR, pro-Justice, author, The Simple Guide to Girls' Basketball, https://t.co/BczjBMN1Sd",False,2022-10-09 12:19:53+00:00,#Coaching #GreggPopovich #DeanSmith Random thoughts on sport. #ChopWoodCarryWater https://t.co/zF2cFSs88k https://t.co/hsMXuSbUSg,"['Coaching', 'GreggPopovich', 'DeanSmith', 'ChopWoodCarryWater']",Twitter Web App
