,Unnamed: 0,user_name,user_location,user_description,user_verified,date,text,hashtags,source
0,0,Schwartz Laser Eye,"Scottsdale, AZ","Schwartz Laser Eye Center is Arizona's most trusted ophthalmology center for LASIK & more. Official team eye doctor for the Suns, Dbacks, Coyotes & Mercury.",False,2022-10-09 14:40:20+00:00,"Great article by @DuaneRankin from the Arizona Republic on Monty Williams eye surgery. 

https://t.co/2o5TS8JUN0

#ClearLensExchange #MontyWilliams #ChrisPaul #PhoenixSuns @Suns",,Twitter for iPhone
1,1,Sinead Kelly,"WALDORF, MD","Be like seeds; do not see dirt thrown at you as your enemy, but as ground to grow.",False,2022-10-09 13:58:21+00:00,"Professional Youtube Video Editi̗ng Service 🎇

👉https://t.co/0B2pQqvi8m

#nnattawin #goodbye #enddirectprovision #phoenixsuns #photoapps #lesfic #wearcozeboys #maintainyouragency https://t.co/c7aTkBgm7j","['nnattawin', 'goodbye', 'enddirectprovision']",graduate_project
2,2,Love NBA,,NAB Fanbase,False,2022-10-09 12:37:02+00:00,"Jock Landale &amp; The #Suns Bench Looks ...
 
https://t.co/m0293vz8Ay
 
#ChrisPaulPhoenixSuns #JockLandale #LandryShamet #NBA #NbaNews #PacificDivision #Phoenix #PhoenixSportsNews #PhoenixSuns #PhoenixSunsHighlights #PhoenixSunsLineup #PhoenixSunsLineup2023 #PhoenixSunsMediaDay https://t.co/0gc1YGm2qQ","['Suns', 'ChrisPaulPhoenixSuns', 'JockLandale']",love.nba
3,3,Love NBA,,NAB Fanbase,False,2022-10-09 11:47:01+00:00,"LAKERS at SUNS | FULL GAME HIGHLIGHTS | March 13, 2022
 
https://t.co/S9bGATr0w4
 
#Basketball #GLeague #Game0022101019 #NBA #PacificDivision #PhoenixSuns #WesternConference https://t.co/urktUDXWHs","['Basketball', 'GLeague']",love.nba
4,4,Bitches Love Sports,New episodes every Thursday!,"A podcast hosted by two roller derby athletes sharing our perspective on our favorite teams, favorite athletes, and the sports world as a whole.",False,2022-10-08 19:46:52+00:00,"I agree with this. I was really wondering how the video and information leaked and why everyone was giving their opinion. 
Let the team handle that. 
#PhoenixSuns #NBATwitter https://t.co/FlOpM4Rgen",,Twitter for Android
5,5,Paincers Fan,,"Indiana Pacers and NBA fan using this account to vent and deliver hot basketball takes. If you talk NBA or Pacers basketball, follow me. I follow back.",False,2022-10-08 19:09:25+00:00,"I think the Golden State Warriors should trade Draymond Green &amp; Patrick Baldwin Jr. to the Phoenix Suns for Jae Crowder, Dario Saric, &amp; Torrey Craig. This would be a fair and even trade and you get two unhappy players to new teams. #nba #GoldenState #Warriors #phoenixSuns https://t.co/N9PBLBFdWx",,Twitter for iPhone
6,6,HabsHYPE,"Montreal, Qc","Artist @ fine Art America. Frames, Prints,📲Cases, Puzzles, Towels, Pillows and more!",False,2022-10-08 17:00:00+00:00,"Shop #ValleyProud    Frames, Puzzles, Prints, Phones Cases, Towels and more @ &gt;&gt; https://t.co/o9JlO7KPCS &lt;&lt; #Phoenix #Suns #PHX #PHXSuns #PhoenixSuns #NBA #basketball #NBAAllStar #NBA2K22 #NBATwitter #NBAonTNT #NBA75",['ValleyProud'],Twitter Web App
7,7,Elevate Awareness Pax 🦍,Infinite Conscious,There's beauty in the struggle For what is profit if a man gains the whole world but loses his soul? #AMC #APE 🦍 🦍 🦍 🌚 🚀,False,2022-10-08 16:42:23+00:00,"If @JeffBezos buys the #phoenixsuns , it’s fuckin over. In the #nba money talk’s obviously 🚀 🚀 MAYBE we will finally see a ring!","['phoenixsuns', 'nba']",Twitter for iPhone
8,8,SUNbrero_602,phoenix baby,"Just a DieharD SUNbrero wearing Panda in the Desert. Follow my Suns Collection on IG ! 
      MaRiA Vasquez-England, is my Government name.",False,2022-10-08 04:35:14+00:00,When @JustSportsAZ has the 🔥🔥🔥🔥 we must pick up! that purple one will go well with the new jerseys just released #valleyofthesun #phoenixsuns #justsportsaz https://t.co/7quVzcGSuC,,Twitter for Android
9,9,TalkBasket,Basketball World,"EuroLeague and FIBA media partner, all latest news from the NBA and the world of basketball. Get in touch at info@talkbasket.net",False,2022-10-08 02:19:58+00:00,"Cam Johnson, Cam Payne out for the remainder of Suns’ preseason matches #CamJohnson #CamPayne #PhoenixSuns https://t.co/EwUaBav8L3","['CamJohnson', 'CamPayne', 'PhoenixSuns']",TalkBasket
10,10,NBA_Trades,"Toronto, Ontario",,False,2022-10-07 22:16:28+00:00,#GoldenStateWarriors #phoenixsuns who says no? https://t.co/ugvrNDLNH0,"['GoldenStateWarriors', 'phoenixsuns']",Twitter for iPhone
11,11,Suns’ Sizzles,"Phoenix, AZ","Suns' Sizzles are independent hot takes, opinions, reactions and thoughtful diagnosis on all things Phoenix Suns! When there is something to say, we say it.",False,2022-10-07 19:24:53+00:00,"@Gambo987 @Vincemarotta @danbickley @WolfandLuke @KellanOlson #suns #phoenixsuns Not to presume to know more about the “craft” than my esteemed sports commentators, but sometimes you just have to ask the question directly, then watch for subtle cues. Exactly 100 days til 1/15/22! https://t.co/Nru0tgRGGw","['suns', 'phoenixsuns']",Twitter for iPhone
12,12,VLYB8Y,"Phoenix, AZ",A Phoenix boy,False,2022-10-07 14:49:11+00:00,Draymond to Phoenix who says no? #phoenixsuns #draymond,"['phoenixsuns', 'draymond']",Twitter for iPhone
13,13,▫️〰️TMG 〰️▫️,,trying to be better than I was yesterday ✨️,False,2022-10-07 02:02:56+00:00,I have wanted a rottweiler since i was a little girl and i finally have one! AND his name is phoenix! 😍🥺 #phoenixsuns,['phoenixsuns'],Twitter for Android
