,Unnamed: 0,user_name,user_location,user_description,user_verified,date,text,hashtags,source
0,0,Fadeaway World,,"https://t.co/pxJFnl3Ykb provides the top news, rumors, highlights, throwbacks and articles for the best fans in the world.",False,2022-10-09 12:00:00+00:00,"Most points in Timberwolves franchise history 🐺📈

Kevin Garnett: 19,201
Karl-Anthony Towns: 11,170
Andrew Wiggins: 8,710
Sam Mitchell: 7,161
Kevin Love: 6,989

We could see KAT leading the list in a few more years 👌

#timberwolves #raisedbywolves #nba https://t.co/nSa9I9caUQ",,Twitter Web App
1,1,Raw Chili,,,False,2022-10-09 10:22:04+00:00,"Our future COTY 
 
https://t.co/m2JM61exrE
 
#Basketball #Minneapolis #Minnesota #MinnesotaTimberwolves #NationalBasketballAssociation #NBA #NBAWesternConference #NBAWesternConferenceNorthwestDivision #Timberwolves https://t.co/a0dQc9JIiM","['Basketball', 'Minneapolis', 'Minnesota', 'MinnesotaTimberwolves']",raw-chili
2,2,NBA Players Highlights,,I gonna do NBA Players video highlights and upload on youtube and here,False,2022-10-09 08:58:41+00:00,"Kyle Anderson NBA highlights TIMBERWOLVES vs LAKERS 06-10-2022 PRESEASON https://t.co/ylxHXwUtxN

Follow us for more  highlights!!

#KyleAnderson #Kyle #Anderson #nbaPRESEASON #nbahighlights #basketball #minnesota #timberwolves #timberwolves https://t.co/hX8H0r8rLZ",,Twitter Web App
3,3,NBA Players Highlights,,I gonna do NBA Players video highlights and upload on youtube and here,False,2022-10-09 08:50:02+00:00,"Naz Reid NBA highlights TIMBERWOLVES vs LAKERS 06-10-2022 PRESEASON https://t.co/PtiDFDXp8x

Follow us for more  highlights!!

#NazReid #Naz #Reid #nbaPRESEASON #nbahighlights #basketball #minnesota #timberwolves #timberwolves https://t.co/XOTZgbBJJK",,Twitter Web App
4,4,NBA Players Highlights,,I gonna do NBA Players video highlights and upload on youtube and here,False,2022-10-09 08:41:07+00:00,"Jaden McDaniels NBA highlights TIMBERWOLVES vs LAKERS 06-10-2022 PRESEASON https://t.co/WIooZGq2ha

Follow us for more  highlights!!

#JadenMcDaniels #Jaden #McDaniels #nbaPRESEASON #nbahighlights #basketball #minnesota #timberwolves #timberwolves https://t.co/6zORO4aLpw",,Twitter Web App
5,5,Timberwolves Explosion,Golden Valley Minnesota,"Timberwolves Explosion🎙 ( now with @HoopsPodNet ) is a Minnesota Timberwolves Podcast since 2008, hosted by Joey Awaijane @paladinolive",False,2022-10-09 04:34:58+00:00,"Timberwolves Explosion EP341:""Season Preview 2022-2023"" is now on your favorite podcasting app!
#Timberwolves #NBA #Podcast #DraftKings: Promo Code: TBPN @HoopsPodNet https://t.co/q7a3rtIhTC","['Timberwolves', 'NBA']",Twitter Web App
6,6,Fadeaway World,,"https://t.co/pxJFnl3Ykb provides the top news, rumors, highlights, throwbacks and articles for the best fans in the world.",False,2022-10-09 02:30:00+00:00,"Highest defensive rating in the 2021-22 season 🚫

Robert Williams: 102.4
Rudy Gobert: 103.3
Bam Adebayo: 104.2
Al Horford: 104.4
Kevon Looney: 104.9

#NBA #Celtics #Timberwolves #Heat #Warriors https://t.co/mv1OdRxlgw",,Twitter Web App
7,7,Raw Chili,,,False,2022-10-09 00:45:04+00:00,"Caption this 
 
https://t.co/aPA8Bm1mWz
 
#Basketball #Minneapolis #Minnesota #MinnesotaTimberwolves #NationalBasketballAssociation #NBA #NBAWesternConference #NBAWesternConferenceNorthwestDivision #Timberwolves https://t.co/ET9F30jApa","['Basketball', 'Minneapolis', 'Minnesota', 'MinnesotaTimberwolves']",raw-chili
8,8,Love NBA,,NAB Fanbase,False,2022-10-08 22:43:02+00:00,"""I Can&amp;#39;t Wait To Be On The Court For Real With [#Kat]."" | Rudy Gobert Postgame ...
 
https://t.co/HACUMgKSca
 
#Ant #AnthonyEdwards #DAngeloRussell #DLo #KarlAnthonyTowns #Minnesota #MinnesotaTimberwolves #NBA #NorthwestDivision #Timberwolves #WesternConference #Wolves https://t.co/HFCzvcb6lg",['Kat'],love.nba
9,9,GotdemCards,your local card shop,"I have thousands of cards & I'm selling some to get some more. show me those cards
MJ Kobe & Trout is what it's really all about. Posting cards everyday",False,2022-10-08 21:50:51+00:00,"#MinnesotaTimberwolves 5 Card Lot #Timberwolves 

$2 OBO 

#Basketball #thehobby
#basketballcards #NBA #thehobby @HobbyRetweet_
#sportscards #sportscardsforsale
@JakeMc945
 @ILOVECOLLECTIN1 @MDRANSOM1 @sports_sell @CardboardEchoes @timscards1 https://t.co/uccI0iYwFF","['MinnesotaTimberwolves', 'Timberwolves', 'Basketball', 'thehobby', 'basketballcards', 'NBA', 'thehobby']",Twitter for Android
