,user_name,user_location,user_description,user_verified,date,text,hashtags,source
0,Love NBA,,NAB Fanbase,False,2022-10-07 02:15:02+00:00,"MAJOR #Warriors Rumors: ...
 
https://t.co/PUnodxYUMp
 
#2022NbaPreseason #202223NBASeason #BobMyers #ChrisHaynes #DraymondGreen #DraymondGreenHighlights #DraymondGreenJordanPooleFight #GoldenStateWarriors #GoldenStateWarriorsNews #GoldenStateWarriorsRumors #JordanPoole https://t.co/JZPzQ6NHiY","['Warriors', '2022NbaPreseason', '202223NBASeason', 'BobMyers', 'ChrisHaynes']",love.nba
1,Love NBA,,NAB Fanbase,False,2022-10-07 01:43:02+00:00,"New Orleans Pelicans vs. Chicago ...
 
https://t.co/dk6u884ru5
 
#AndrewWiggins #AnthonyDavis #BenSimmons #BrooklynNets #CarmeloAnthony #ChrisPaul #DamianLillard #DevinBooker #DraymondGreen #DwightHoward #GIANNISANTETOKOUNMPO #GoldenStateWarriors #JamesHarden #JoelEmbiid https://t.co/KrXYeAIZjP","['AndrewWiggins', 'AnthonyDavis', 'BenSimmons']",love.nba
2,Warriors Fans,,GS Warriors Fan Page. NOT linked to Official GS Warriors #GSW #Dubs #GoldenState #GoldBlooded #StrengthInNumbers #DubNation #GoldenStateWarriors #Warriors,False,2022-10-07 01:05:00+00:00,"Steve Kerr Dismisses Negative Reports About Jordan Poole In Training Camp, Claims The Guard Was ""Fantastic"" #StrengthInNumbers #DubNation #GoldenStateWarriors #Warriors https://t.co/UNsKIuB3sJ",,SocialBee.io v2
3,Raw Chili,,,False,2022-10-07 01:02:04+00:00,"[Dumas] Bob Myers asked Steph Curry today if he’s ready to do some l ... 
 
https://t.co/6qaZ8NEPSV
 
#Basketball #California #GoldenState #GoldenStateWarriors #NationalBasketballAssociation #NBA #NBAWesternConference #NBAWesternConferencePacificDivision #Oakland #Warriors https://t.co/kRYsDFV3yz",['Basketball'],raw-chili
4,Warriors Fans,,GS Warriors Fan Page. NOT linked to Official GS Warriors #GSW #Dubs #GoldenState #GoldBlooded #StrengthInNumbers #DubNation #GoldenStateWarriors #Warriors,False,2022-10-07 01:01:53+00:00,Chef Curry cools things down #StrengthInNumbers #DubNation #GoldenStateWarriors #Warriors https://t.co/EU0jPO1ORp,"['StrengthInNumbers', 'DubNation', 'GoldenStateWarriors', 'Warriors']",SocialBee.io v2
5,Gaijin_Innit,"Bronx, NY","Training Arc
🥷🏿New to Twitter 🌐
Blerd Streamer
Podcast personality 
IT Specialist 🖥
BRZ/370Z/GTI OWNER 🏎
Bx 🇯🇲 native repping niche games & FGC",False,2022-10-07 00:53:17+00:00,#GoldenStateWarriors  usually get bailed out of hard matchuos with domeone on thier team always assigned to injury  a big play players,['GoldenStateWarriors'],Twitter for Android
6,Love NBA,,NAB Fanbase,False,2022-10-07 00:27:02+00:00,"Stephen curry: ""The scrimmage ended in a tie, in case anybody wanted to know how basketball went today, it was phenomenal.""
 
https://t.co/rxFOYz8Nys
 
#GoldenStateWarriors #PacificDivision #WesternConference https://t.co/mLtDYzrR3V",,love.nba
7,i m p ir u m crypt 🎃,"San Francisco, Ca","dungeon crawler /
dead pixels / impirum crypt illustration
 🎨 working on an indie comic based on pixel era RPGs
~~~
Reddit: ElmoIsRed616",False,2022-10-07 00:17:10+00:00,Minutes before committing a chaos dunk 🏀 #GoldenStateWarriors #CyberpunkEdgerunners https://t.co/pZTx6hdVmv,"['GoldenStateWarriors', 'CyberpunkEdgerunners']",Twitter for Android
8,Warriors Fans,,GS Warriors Fan Page. NOT linked to Official GS Warriors #GSW #Dubs #GoldenState #GoldBlooded #StrengthInNumbers #DubNation #GoldenStateWarriors #Warriors,False,2022-10-07 00:05:00+00:00,Warriors' Draymond Green apologizes for incident with teammate Jordan Poole #StrengthInNumbers #DubNation #GoldenStateWarriors #Warriors https://t.co/XB3TlCmMqk,"['StrengthInNumbers', 'DubNation']",SocialBee.io v2
9,RBWholesalers,"California, USA","Part-time reseller on eBay & documenting our journey along the way.

Retweeting Original Posts

No porn or politics please.",False,2022-10-06 23:50:13+00:00,Check out Photo File 2015 Golden State Warriors NBA Licensed Photo 8x10 Curry Green More https://t.co/6rPtyxcNVC #eBay via @eBay #RBWholesalers #Photo #PhotoFile #GoldenStateWarriors #NBA #Basketball #StephenCurry #DraymondGreen,,Twitter Web App
10,Paul✪ 🌐,"Los Angeles, CA","all we need is love…
Voice of the Secret Society
Blue Flatland",False,2022-10-06 23:24:46+00:00,"Draymond Green out, Carmelo Anthony in #StayMelo #Draymond #GoldenStateWarriors","['StayMelo', 'Draymond', 'GoldenStateWarriors']",Twitter for Android
11,Paul✪ 🌐,"Los Angeles, CA","all we need is love…
Voice of the Secret Society
Blue Flatland",False,2022-10-06 23:22:55+00:00,Carmelo Anthony to the Warriors? #nba #staymelo #GoldenStateWarriors,"['nba', 'staymelo', 'GoldenStateWarriors']",Twitter for Android
12,Playmakers Radio,,All Things NBA. Make sure to follow our other account @AllThingsWNBA for everything WBB.,False,2022-10-06 23:20:13+00:00,"Join us in wishing 2022 NBA champion Jonathan Kuminga a very Happy 20th Birthday!!! 🥳

#NBA #NBABDAY #GoldenStateWarriors #DubNation https://t.co/Ci3JcuvZ2V","['NBA', 'NBABDAY']",Twitter for iPhone
13,Love NBA,,NAB Fanbase,False,2022-10-06 23:06:02+00:00,"Draymond Green and Jordan Poole ...
 
https://t.co/ZLunEXd0ou
 
#DraymondGreen #DraymondGreenTrade #GoldenStateWarriors #GoldenStateWarriorsNews #GoldenStateWarriorsTrade #JordanPoole #JordanPooleTrade #NBA #NbaNews #NbaTrade #NbaTradeRumors #PacificDivision #Warriors https://t.co/YSsajIONgr","['DraymondGreen', 'DraymondGreenTrade']",love.nba
14,Warriors Fans,,GS Warriors Fan Page. NOT linked to Official GS Warriors #GSW #Dubs #GoldenState #GoldBlooded #StrengthInNumbers #DubNation #GoldenStateWarriors #Warriors,False,2022-10-06 23:05:00+00:00,"Warriors GM Bob Myers, HC Steve Kerr, respond to Draymond Green/Jordan Poole incident #StrengthInNumbers #DubNation #GoldenStateWarriors #Warriors https://t.co/gCaB52iuz7","['StrengthInNumbers', 'DubNation']",SocialBee.io v2
15,Warriors Fans,,GS Warriors Fan Page. NOT linked to Official GS Warriors #GSW #Dubs #GoldenState #GoldBlooded #StrengthInNumbers #DubNation #GoldenStateWarriors #Warriors,False,2022-10-06 22:56:01+00:00,Andre Iguodala addresses Draymond Green-Jordan Poole incident #StrengthInNumbers #DubNation #GoldenStateWarriors #Warriors https://t.co/JQA57NLnsk,"['StrengthInNumbers', 'DubNation', 'GoldenStateWarriors']",SocialBee.io v2
