,user_name,user_location,user_description,user_verified,date,text,hashtags,source
0,Nobuhiro Fukami,日本,XBS / NITRO MICROPHONE UNDERGROUND / EXB4SS / FLY Magazine / TOKYO 23 -Photographer- -BASKETBALL- -BASS FISHING-,False,2022-10-11 14:53:49+00:00,"It was good see you again in Japan.
@rui_8mura 🙌

#ruihachimura 
#blacksamurai
#nbajapangames2022 
#nba 
#washingtonwizards 
#flymagazine https://t.co/LmB6xDIhSu","['ruihachimura', 'blacksamurai', 'nbajapangames2022', 'nba']",Twitter for iPhone
1,Love NBA,,NAB Fanbase,False,2022-10-11 13:52:02+00:00,"#Lamelo BLOCKS 7’3 PORZIGIS (#Liangelo SCORES IN 4TH PRESEASON GAME) #Hornets VS #Wizards
 
https://t.co/zBMtG1IyWN
 
#CharlotteHornets #EasternConference #Gelo #LameloBall #LiangeloBall #Melo #SoutheastDivision #WashingtonWizards https://t.co/BCs7F05WY3","['Lamelo', 'Liangelo', 'Hornets', 'Wizards']",love.nba
2,Love NBA,,NAB Fanbase,False,2022-10-11 13:49:02+00:00,"🔴 WASHINGTON WIZARDS @ CHARLOTTE #Hornets PRESEASON LIVE WATCH PA ...
 
https://t.co/ACUFRADZVF
 
#CharlotteHornets #CharlotteNba #EasternConference #FanReaction #HornetsFan #HornetsFans #LameloBall #NBA #NbaFan #NbaFanChannel #SamDracula #SoutheastDivision #WashingtonWizards https://t.co/f9i3rS0kTv","['Hornets', 'CharlotteHornets']",love.nba
3,Raw Chili,,,False,2022-10-11 10:22:02+00:00,"Post Game Thread: The #Washington #Wizards defeat The Charlotte Hornets 116-107 
 
https://t.co/B0qyyJ79Wf
 
#Basketball #DC #NationalBasketballAssociation #NBA #NBAEasternConference #NBAEasternConferenceSoutheastDivision #WashingtonWizards https://t.co/nzVjKi0v2o","['Washington', 'Wizards']",raw-chili
4,Love NBA,,NAB Fanbase,False,2022-10-11 07:53:02+00:00,"John Wall 20 pts 3 asts vs Wolves 2022 Preseason
 
https://t.co/ofSNdGH3wA
 
#EasternConference #SoutheastDivision #WashingtonWizards https://t.co/CNNaY0AX9v","['EasternConference', 'SoutheastDivision']",love.nba
5,Matthias Wilke /Rangerbure,Berlin,ruhiger Typ ... keine Ahnung was ich manchmal Schreibe ...Sportergebnisse(Mitteilung)...(SerienFan),False,2022-10-11 07:01:38+00:00,"Ende #Basketball Herren #NBASaisonvorbereitung 
116:107 #WashingtonWizards vs CharlotteHornets 
113:97 #Philadelpha76ers vs ClevelandCavaliers 
110:118 HoustonRockets vs #MiamiHeat 
105 :107 PhoenixSuns vs #DenverNuggets","['Basketball', 'NBASaisonvorbereitung', 'WashingtonWizards']",Twitter Web App
6,Love NBA,,NAB Fanbase,False,2022-10-11 07:01:02+00:00,"WIZARDS at HORNETS | #NBA PRESEASON FULL GAME HIGHLIGHTS | October 10, 2022
 
https://t.co/HBSUSbSXzX
 
#Basketball #EasternConference #GLeague #Game0012200043 #SoutheastDivision #WashingtonWizards https://t.co/aedgUdBSxn","['NBA', 'Basketball']",love.nba
7,Love NBA,,NAB Fanbase,False,2022-10-11 06:22:02+00:00,"[Ava Wallace] Wes Unseld Jr. said he doesn't think Porzingis's left ankle sprain will be too bad. Said Porzingis was ready to come in for the second half but no need to push in ...
 
https://t.co/wLnuH9lnsV
 
#EasternConference #SoutheastDivision #WashingtonWizards https://t.co/hAmbvVvq6D",,love.nba
8,Love NBA,,NAB Fanbase,False,2022-10-11 03:48:02+00:00,"Post Game Thread: The Washington Wizards defeat The Charlotte Hornets 116-107
 
https://t.co/fmDZjgKfyc
 
#EasternConference #SoutheastDivision #WashingtonWizards https://t.co/luDshzXZ7j",,love.nba
9,TalkBasket,Basketball World,"EuroLeague and FIBA media partner, all latest news from the NBA and the world of basketball. Get in touch at info@talkbasket.net",False,2022-10-11 01:57:36+00:00,"Bradley Beal exits health protocols, now out day-to-day (non-COVID illness) #BradleyBeal #WashingtonWizards https://t.co/eTiNFid2BD","['BradleyBeal', 'WashingtonWizards']",TalkBasket
10,NuMediaNetwork,,A Social Network Of Creators Dedicated To Putting Out The Truth For The People By The People,False,2022-10-11 01:29:25+00:00,Join the  NuMedia Spaces ‼️ #CharlotteHornets #Hornets #LaMeloBall #LiAngeloBall #NickRichards #JamesBouknight #BryceMcGowens #WashingtonWizards #Wizards https://t.co/Vl0UclTHF3,"['CharlotteHornets', 'Hornets', 'LaMeloBall', 'LiAngeloBall', 'NickRichards', 'JamesBouknight']",Twitter for iPhone
11,DCSports.7amCoffee,"Washington, DC",I hope my Tweets don’t make you sad,False,2022-10-11 00:25:40+00:00,"Praying Porz is ok. Please. 

#WashingtonWizards",['WashingtonWizards'],Twitter for iPhone
12,DCSports.7amCoffee,"Washington, DC",I hope my Tweets don’t make you sad,False,2022-10-10 23:46:45+00:00,"I have a lot of faith in coach Wes Unseld. Let’s go Wizards ! 

#WashingtonWizards",['WashingtonWizards'],Twitter for iPhone
13,DCSports.7amCoffee,"Washington, DC",I hope my Tweets don’t make you sad,False,2022-10-10 23:45:14+00:00,"Rui looks confident and beast. 

#WashingtonWizards",['WashingtonWizards'],Twitter for iPhone
14,thePeachBasket,"Los Angeles, CA","Voice of the Fan/Home of Fan Experts!
Amplifying the voice of passionate basketball fans worldwide
Info@thePeachBasket.net
https://t.co/d6isaWJXxS…",False,2022-10-10 17:42:28+00:00,"Washington Wizards: I have to be honest

When early October arrives, I get excited for the upcoming Wizards season. For the most part I am an optim

https://t.co/93E48axUG3

#BradleyBeal #KristapsPorzingis #EasternConference #WashingtonWizards https://t.co/7Pdn4QvmMh",,WordPressTwitterCollab
15,3rd Will,,Father; University of Maryland 1996,False,2022-10-10 14:13:27+00:00,"@WizCooke @JohnWall Still, and will always be, my point guard. #dcrising #washingtonwizards   @JohnWall will always be loved in DC. Go get ‘em young champion.","['dcrising', 'washingtonwizards']",Twitter for iPhone
16,TalkBasket,Basketball World,"EuroLeague and FIBA media partner, all latest news from the NBA and the world of basketball. Get in touch at info@talkbasket.net",False,2022-10-10 04:46:57+00:00,"Bradley Beal enters health and safety protocols, out for the meantime #BradleyBeal #WashingtonWizards https://t.co/TnhXx7IcIg","['BradleyBeal', 'WashingtonWizards']",TalkBasket
17,Love NBA,,NAB Fanbase,False,2022-10-10 03:07:02+00:00,"Practice Press: Wes Unseld Jr. and Kristaps Porzingis
 
https://t.co/Df4FvEhL7B
 
#Basketball #EasternConference #NBA #SoutheastDivision #WashingtonWizards https://t.co/2u3lR8T7zu","['Basketball', 'EasternConference']",love.nba
18,Love NBA,,NAB Fanbase,False,2022-10-10 00:29:03+00:00,"AND ONE: Will Barton excited for close-to-home-coming with Wizards | NBC Sports Washington
 
https://t.co/JEEX3Biokf
 
#EasternConference #SoutheastDivision #WashingtonWizards https://t.co/gcH0ULekKX",,love.nba
19,James Young,"Shrewsbury, NJ","Basketball Coach, Husband, Father, Son, Friend. Basketball Analyst @sportsgrid. Media inquires: jry02@yahoo.com",True,2022-10-09 22:21:36+00:00,"Here are my 3️⃣ reasons I believe the Washington Wizards will finish with u35.5 wins, line by @FDSportsbook @SportsGrid #washingtonwizards #NBATwitter #GamblingTwitter https://t.co/2AfsXXLZfj",,Twitter for iPhone
